"Year","County_Code","name","PPT","Irrigation","Max_UnderTh","Unreported_Irrigation_based"
2004,197,"WYTHE",339.19,423,55,24.77
2004,43,"CLARKE",278.04,484,94,48.45
2004,83,"HALIFAX",436.91,325,223,77.18
2004,800,"SUFFOLK CITY",508.08,254,109,29.48
2004,113,"MADISON",319.83,442,72,33.89
2004,163,"ROCKBRIDGE",319.29,443,59,27.83
2004,810,"VIRGINIA BEACH CITY",555.58,206,65,14.26
2004,15,"AUGUSTA",295.79,466,199,98.75
2004,45,"CRAIG",302.67,459,30,14.66
2004,181,"SURRY",542.84,219,65,15.16
2004,159,"RICHMOND",527.94,234,21,5.23
2004,153,"PRINCE WILLIAM",316.56,445,89,42.17
2004,199,"YORK",559.51,202,41,8.82
2004,7,"AMELIA",466.8,295,109,34.24
2004,119,"MIDDLESEX",502.45,260,26,7.2
2004,109,"LOUISA",432.91,329,90,31.53
2004,111,"LUNENBURG",458.68,303,61,19.68
2004,115,"MATHEWS",485.86,276,19,5.58
2004,191,"WASHINGTON",409.81,352,155,58.1
2004,29,"BUCKINGHAM",364.93,397,26,10.99
2004,33,"CAROLINE",463.88,298,79,25.07
2004,53,"DINWIDDIE",476.14,286,115,35.02
2004,141,"PATRICK",439.44,323,134,46.09
2004,177,"SPOTSYLVANIA",389.07,373,79,31.38
2004,35,"CARROLL",364.86,397,60,25.37
2004,57,"ESSEX",527.8,234,39,9.72
2004,41,"CHESTERFIELD",495.65,266,46,13.03
2004,125,"NELSON",391.27,371,145,57.28
2004,147,"PRINCE EDWARD",405.43,357,60,22.81
2004,97,"KING AND QUEEN",534.11,228,64,15.54
2004,179,"STAFFORD",348.04,414,25,11.02
2004,107,"LOUDOUN",268.54,493,242,127.04
2004,71,"GILES",310.02,452,32,15.4
2004,1,"ACCOMACK",500.37,262,58,16.18
2004,127,"NEW KENT",517.95,244,18,4.68
2004,185,"TAZEWELL",414.11,348,29,10.75
2004,21,"BLAND",397.7,364,21,8.14
2004,91,"HIGHLAND",253.17,509,9,4.88
2004,61,"FAUQUIER",314.21,448,217,103.52
2004,69,"FREDERICK",263.26,499,159,84.49
2004,17,"BATH",262.68,499,19,10.1
2004,3,"ALBEMARLE",356.16,406,168,72.63
2004,51,"DICKENSON",367.34,395,12,5.05
2004,49,"CUMBERLAND",430.92,331,27,9.52
2004,85,"HANOVER",473.58,288,278,85.26
2004,81,"GREENSVILLE",444.98,317,9,3.04
2004,5,"ALLEGHANY",273.69,488,11,5.72
2004,165,"ROCKINGHAM",230.42,532,350,198.28
2004,171,"SHENANDOAH",232.62,529,125,70.41
2004,145,"POWHATAN",495.38,267,32,9.1
2004,175,"SOUTHAMPTON",505.46,257,90,24.63
2004,139,"PAGE",253.05,509,47,25.47
2004,133,"NORTHUMBERLAND",501,261,10,2.78
2004,75,"GOOCHLAND",467.25,295,32,10.05
2004,65,"FLUVANNA",432.15,330,61,21.44
2004,95,"JAMES CITY",549.13,213,27,6.12
2004,63,"FLOYD",311.65,450,196,93.92
2004,149,"PRINCE GEORGE",503.71,258,8,2.2
2004,77,"GRAYSON",352.34,410,77,33.62
2004,131,"NORTHAMPTON",467.76,294,48,15.03
2004,137,"ORANGE",361.26,401,53,22.63
2004,79,"GREENE",325.08,437,47,21.87
2004,195,"WISE",358.04,404,15,6.45
2004,183,"SUSSEX",461.77,300,25,7.99
2004,87,"HENRICO",502.69,259,49,13.51
2004,101,"KING WILLIAM",505.29,257,17,4.65
2004,103,"LANCASTER",468.67,293,12,3.74
2004,187,"WARREN",238.74,523,70,38.98
2004,9,"AMHERST",360.35,402,36,15.41
2004,155,"PULASKI",299.03,463,28,13.8
2004,19,"BEDFORD",350.38,412,159,69.76
2004,173,"SMYTH",374.89,387,66,27.2
2005,67,"FRANKLIN",236.33,526,242,135.55
2005,37,"CHARLOTTE",248.02,514,202,110.56
2005,99,"KING GEORGE",234.63,527,34,19.08
2005,135,"NOTTOWAY",230.13,532,55,31.16
2005,25,"BRUNSWICK",198.13,564,126,75.67
2005,161,"ROANOKE",380.56,381,82,33.27
2005,36,"CHARLES CITY",262.4,500,21,11.18
2005,550,"CHESAPEAKE CITY",380.74,381,189,76.68
2005,11,"APPOMATTOX",274.21,488,81,42.09
2005,73,"GLOUCESTER",298.43,464,58,28.66
2005,47,"CULPEPER",250.96,511,167,90.87
2005,105,"LEE",313.06,449,204,97.54
2005,193,"WESTMORELAND",242.88,519,122,67.42
2005,143,"PITTSYLVANIA",296.4,466,211,104.7
2005,117,"MECKLENBURG",204.66,557,236,139.98
2005,121,"MONTGOMERY",276.9,485,41,21.17
2005,89,"HENRY",397.72,364,40,15.5
2005,93,"ISLE OF WIGHT",264.26,498,44,23.33
2005,169,"SCOTT",371.81,390,180,74.75
2005,167,"RUSSELL",343.64,418,118,52.52
2005,59,"FAIRFAX",213.16,549,101,59.05
2005,31,"CAMPBELL",258.01,504,130,69.77
2005,157,"RAPPAHANNOCK",257.6,504,95,50.99
2005,23,"BOTETOURT",327.68,434,77,35.59
2005,197,"WYTHE",312.36,450,55,26.36
2005,43,"CLARKE",251.84,510,94,51.05
2005,83,"HALIFAX",245.36,517,223,122.77
2005,800,"SUFFOLK CITY",290.35,472,109,54.79
2005,113,"MADISON",276,486,72,37.26
2005,163,"ROCKBRIDGE",292.92,469,59,29.47
2005,810,"VIRGINIA BEACH CITY",370.72,391,65,27.06
2005,15,"AUGUSTA",260.61,501,199,106.17
2005,45,"CRAIG",327.79,434,30,13.86
2005,181,"SURRY",295.9,466,65,32.25
2005,159,"RICHMOND",290.42,472,21,10.55
2005,153,"PRINCE WILLIAM",222.22,540,89,51.18
2005,199,"YORK",285.41,477,41,20.83
2005,7,"AMELIA",239.64,522,109,60.59
2005,119,"MIDDLESEX",314.86,447,26,12.38
2005,109,"LOUISA",230.81,531,90,50.89
2005,111,"LUNENBURG",214.66,547,61,35.53
2005,115,"MATHEWS",349.76,412,19,8.34
2005,191,"WASHINGTON",329.21,433,155,71.47
2005,29,"BUCKINGHAM",282.75,479,26,13.26
2005,33,"CAROLINE",259.58,502,79,42.23
2005,53,"DINWIDDIE",221.23,541,115,66.25
2005,141,"PATRICK",409.75,352,134,50.23
2005,177,"SPOTSYLVANIA",236.49,526,79,44.25
2005,35,"CARROLL",353.31,409,60,26.13
2005,57,"ESSEX",247.17,515,39,21.39
2005,41,"CHESTERFIELD",219.61,542,46,26.55
2005,125,"NELSON",302.77,459,145,70.87
2005,147,"PRINCE EDWARD",214.15,548,60,35.01
2005,97,"KING AND QUEEN",269.99,492,64,33.53
2005,179,"STAFFORD",235.5,526,25,14
2005,107,"LOUDOUN",272.51,489,242,126.01
2005,71,"GILES",315.84,446,32,15.2
2005,1,"ACCOMACK",359.29,403,58,24.89
2005,127,"NEW KENT",249.65,512,18,9.81
2005,185,"TAZEWELL",301.04,461,29,14.24
2005,21,"BLAND",322.57,439,21,9.82
2005,91,"HIGHLAND",304.23,458,9,4.39
2005,61,"FAUQUIER",252.25,510,217,117.85
2005,69,"FREDERICK",204.79,557,159,94.31
2005,17,"BATH",310.66,451,19,9.12
2005,3,"ALBEMARLE",263.9,498,168,89.09
2005,51,"DICKENSON",332.97,429,12,5.48
2005,49,"CUMBERLAND",268.01,494,27,14.2
2005,85,"HANOVER",210.04,552,278,163.41
2005,81,"GREENSVILLE",193.27,569,9,5.45
2005,5,"ALLEGHANY",311.65,450,11,5.27
2005,165,"ROCKINGHAM",251.42,511,350,190.45
2005,171,"SHENANDOAH",243.66,518,125,68.95
2005,145,"POWHATAN",220.08,542,32,18.47
2005,175,"SOUTHAMPTON",228.66,533,90,51.08
2005,139,"PAGE",254.71,507,47,25.37
2005,133,"NORTHUMBERLAND",355.16,407,10,4.33
2005,75,"GOOCHLAND",223.2,539,32,18.37
2005,65,"FLUVANNA",248.66,513,61,33.32
2005,95,"JAMES CITY",311.96,450,27,12.94
2005,63,"FLOYD",305.03,457,196,95.38
2005,149,"PRINCE GEORGE",220.78,541,8,4.61
2005,77,"GRAYSON",342.38,420,77,34.44
2005,131,"NORTHAMPTON",346.28,416,48,21.26
2005,137,"ORANGE",219.54,542,53,30.59
2005,79,"GREENE",296,466,47,23.32
2005,195,"WISE",344.29,418,15,6.68
2005,183,"SUSSEX",246.29,516,25,13.74
2005,87,"HENRICO",244.24,518,49,27.03
2005,101,"KING WILLIAM",245.29,517,17,9.36
2005,103,"LANCASTER",315.33,447,12,5.71
2005,187,"WARREN",205.08,557,70,41.52
2005,9,"AMHERST",326.89,435,36,16.68
2005,155,"PULASKI",288.04,474,28,14.13
2005,19,"BEDFORD",273.82,488,159,82.62
2005,173,"SMYTH",312.17,450,66,31.63
2006,67,"FRANKLIN",319.47,443,242,114.16
2006,37,"CHARLOTTE",355.59,406,202,87.33
2006,99,"KING GEORGE",283.69,478,34,17.31
2006,135,"NOTTOWAY",359.15,403,55,23.6
2006,25,"BRUNSWICK",355.55,406,126,54.47
2006,161,"ROANOKE",231.61,530,82,46.28
2006,36,"CHARLES CITY",280.46,482,21,10.78
2006,550,"CHESAPEAKE CITY",345.81,416,189,83.72
2006,11,"APPOMATTOX",289.39,473,81,40.8
2006,73,"GLOUCESTER",302.85,459,58,28.35
2006,47,"CULPEPER",248.15,514,167,91.41
2006,105,"LEE",258.73,503,204,109.27
2006,193,"WESTMORELAND",328.76,433,122,56.25
2006,143,"PITTSYLVANIA",287.34,475,211,106.73
2006,117,"MECKLENBURG",339.26,423,236,106.3
2006,121,"MONTGOMERY",258.34,504,41,22
2006,89,"HENRY",322.04,440,40,18.74
2006,93,"ISLE OF WIGHT",334.61,427,44,20.01
2006,169,"SCOTT",345.46,417,180,79.93
2006,167,"RUSSELL",379.82,382,118,48
2006,59,"FAIRFAX",228.74,533,101,57.32
2006,31,"CAMPBELL",279.75,482,130,66.72
2006,157,"RAPPAHANNOCK",241.61,520,95,52.6
2006,23,"BOTETOURT",236.18,526,77,43.13
2006,197,"WYTHE",258.83,503,55,29.46
2006,43,"CLARKE",206.28,556,94,55.65
2006,83,"HALIFAX",292.68,469,223,111.37
2006,800,"SUFFOLK CITY",320.73,441,109,51.19
2006,113,"MADISON",275.17,487,72,37.34
2006,163,"ROCKBRIDGE",263.28,499,59,31.35
2006,810,"VIRGINIA BEACH CITY",353.79,408,65,28.24
2006,15,"AUGUSTA",279.48,483,199,102.35
2006,45,"CRAIG",250.75,511,30,16.32
2006,181,"SURRY",262.22,500,65,34.61
2006,159,"RICHMOND",308.18,454,21,10.15
2006,153,"PRINCE WILLIAM",215.12,547,89,51.84
2006,199,"YORK",290.97,471,41,20.56
2006,7,"AMELIA",322.16,440,109,51.07
2006,119,"MIDDLESEX",301.64,460,26,12.74
2006,109,"LOUISA",297.02,465,90,44.56
2006,111,"LUNENBURG",354.71,407,61,26.44
2006,115,"MATHEWS",352.12,410,19,8.3
2006,191,"WASHINGTON",364.21,398,155,65.69
2006,29,"BUCKINGHAM",303.45,459,26,12.71
2006,33,"CAROLINE",260.38,502,79,42.23
2006,53,"DINWIDDIE",320.31,442,115,54.13
2006,141,"PATRICK",301.02,461,134,65.78
2006,177,"SPOTSYLVANIA",238.79,523,79,44
2006,35,"CARROLL",263.36,499,60,31.88
2006,57,"ESSEX",290.1,472,39,19.6
2006,41,"CHESTERFIELD",314.9,447,46,21.9
2006,125,"NELSON",270.61,491,145,75.81
2006,147,"PRINCE EDWARD",306.31,456,60,29.13
2006,97,"KING AND QUEEN",270.16,492,64,33.53
2006,179,"STAFFORD",200.2,562,25,14.96
2006,107,"LOUDOUN",213.26,549,242,141.48
2006,71,"GILES",293.33,469,32,15.98
2006,1,"ACCOMACK",314.29,448,58,27.67
2006,127,"NEW KENT",295.04,467,18,8.95
2006,185,"TAZEWELL",378.87,383,29,11.83
2006,21,"BLAND",292.26,470,21,10.51
2006,91,"HIGHLAND",248.73,513,9,4.92
2006,61,"FAUQUIER",228.85,533,217,123.16
2006,69,"FREDERICK",225.29,537,159,90.92
2006,17,"BATH",264.89,497,19,10.06
2006,3,"ALBEMARLE",272.23,490,168,87.66
2006,51,"DICKENSON",333.98,428,12,5.47
2006,49,"CUMBERLAND",289.29,473,27,13.6
2006,85,"HANOVER",249.47,513,278,151.86
2006,81,"GREENSVILLE",322.97,439,9,4.21
2006,5,"ALLEGHANY",243.88,518,11,6.07
2006,165,"ROCKINGHAM",306.21,456,350,169.95
2006,171,"SHENANDOAH",256.2,506,125,67.35
2006,145,"POWHATAN",296.5,466,32,15.88
2006,175,"SOUTHAMPTON",357.72,404,90,38.72
2006,139,"PAGE",281.61,480,47,24.02
2006,133,"NORTHUMBERLAND",340.49,422,10,4.49
2006,75,"GOOCHLAND",275.02,487,32,16.59
2006,65,"FLUVANNA",300.74,461,61,29.95
2006,95,"JAMES CITY",293.12,469,27,13.48
2006,63,"FLOYD",241.48,521,196,108.74
2006,149,"PRINCE GEORGE",260.66,501,8,4.27
2006,77,"GRAYSON",305.64,456,77,37.39
2006,131,"NORTHAMPTON",342.65,419,48,21.42
2006,137,"ORANGE",265.78,496,53,27.99
2006,79,"GREENE",263.51,498,47,24.92
2006,195,"WISE",343.63,418,15,6.68
2006,183,"SUSSEX",281.2,481,25,12.8
2006,87,"HENRICO",306.62,455,49,23.74
2006,101,"KING WILLIAM",262.64,499,17,9.03
2006,103,"LANCASTER",313.37,449,12,5.74
2006,187,"WARREN",220.67,541,70,40.33
2006,9,"AMHERST",273.57,488,36,18.71
2006,155,"PULASKI",259.43,503,28,15
2006,19,"BEDFORD",269.09,493,159,83.47
2006,173,"SMYTH",352.16,410,66,28.82
2007,67,"FRANKLIN",249.5,512,242,131.94
2007,37,"CHARLOTTE",231.06,531,202,114.22
2007,99,"KING GEORGE",187.45,575,34,20.82
2007,135,"NOTTOWAY",243.11,519,55,30.4
2007,25,"BRUNSWICK",200.65,561,126,75.27
2007,161,"ROANOKE",235.72,526,82,45.93
2007,36,"CHARLES CITY",310.18,452,21,10.11
2007,550,"CHESAPEAKE CITY",297.57,464,189,93.38
2007,11,"APPOMATTOX",246.72,515,81,44.42
2007,73,"GLOUCESTER",265.47,497,58,30.7
2007,47,"CULPEPER",212.79,549,167,97.63
2007,105,"LEE",230.55,531,204,115.35
2007,193,"WESTMORELAND",175.57,586,122,76.13
2007,143,"PITTSYLVANIA",217.54,544,211,122.23
2007,117,"MECKLENBURG",191.51,570,236,143.25
2007,121,"MONTGOMERY",203.37,559,41,24.41
2007,89,"HENRY",240.14,522,40,22.23
2007,93,"ISLE OF WIGHT",255.19,507,44,23.75
2007,169,"SCOTT",270.35,492,180,94.3
2007,167,"RUSSELL",310.95,451,118,56.67
2007,59,"FAIRFAX",202.2,560,101,60.23
2007,31,"CAMPBELL",242.45,520,130,71.98
2007,157,"RAPPAHANNOCK",246.93,515,95,52.1
2007,23,"BOTETOURT",238.53,523,77,42.88
2007,197,"WYTHE",209.39,553,55,32.39
2007,43,"CLARKE",191.58,570,94,57.06
2007,83,"HALIFAX",215.03,547,223,129.89
2007,800,"SUFFOLK CITY",314.63,447,109,51.88
2007,113,"MADISON",289.26,473,72,36.26
2007,163,"ROCKBRIDGE",263.87,498,59,31.29
2007,810,"VIRGINIA BEACH CITY",250.71,511,65,35.37
2007,15,"AUGUSTA",263.68,498,199,105.53
2007,45,"CRAIG",239.52,522,30,16.68
2007,181,"SURRY",277.11,485,65,33.57
2007,159,"RICHMOND",219.4,543,21,12.14
2007,153,"PRINCE WILLIAM",206.26,556,89,52.69
