"","COUNTYFP","YEAR","Total_DEQ_withdrawals","SF_Unreported_Eff_precip_method_all_counties","SF_Unreported_Coeff_method_Deq_irri_counties","DEQ_Irrigation_withdrawals","LF_Unreported_Coeff_method_Deq_irri_counties","LF_Unreported_Eff_precip_method_all_counties","Total_irrigation_withdarwals_calculated"
"37",75,2002,695.2937,7.35,NA,0,NA,15.38,22.73
"38",77,2002,67.504,9.65,NA,NA,NA,20.59,30.24
"39",79,2002,201.205732,8.98,NA,0,NA,1.34,10.32
"40",81,2002,647.5772,1.27,0.98,50.8297,-1.52,10.5103,62.61
"41",83,2002,772.2776,27.72,112.85,26.816,1281.4,445.974,500.51
"42",85,2002,5914.3517,76.44,26.62,236.0457,271.66,858.4743,1170.96
"43",87,2002,677.181536,9.37,NA,NA,NA,0,9.37
"44",89,2002,1815.299008,7.84,NA,NA,NA,74.01,81.85
"45",91,2002,32.1618,2.48,NA,NA,NA,3.04,5.52
"46",93,2002,16964.964678,6.97,7.75,97.5,86.15,103.8,208.27
"47",95,2002,5502.30478,5.58,NA,NA,NA,8.28,13.86
"48",97,2002,261.51,9.49,5.26,256.91,-175.29,-135.12,266.4
"49",99,2002,761.1532,7.02,NA,NA,NA,110.01,117.03
"50",101,2002,7514.2431,5.5,1.91,143.51,23.41,573.49,722.5
"51",103,2002,498.1982,3.78,NA,NA,NA,0,3.78
"52",105,2002,597.42,15.28,NA,NA,NA,37.33,52.61
"53",107,2002,2154.691,66.86,58.9,36.6,1299.96,551.32,654.78
"54",109,2002,199.934,18.3,NA,NA,NA,53.47,71.77
"55",111,2002,231.424,8.29,13,10,262.93,247.27,265.56
"56",113,2002,39.538,13.88,NA,0,NA,5.77,19.65
"57",115,2002,1.113,4.28,NA,0,NA,6.83,11.11
"58",117,2002,1132.005,23.38,40.92,5.59,960.08,1006.27,1035.24
"59",119,2002,117.3,5.25,1.89,13.4,10.41,129.12,147.77
"60",121,2002,8396.0889,12.7,4.16,17,18.7,84.08,113.78
"61",125,2002,593.2255,26.64,8.67,192.13,-95.87,52.08,270.85
"62",127,2002,14967.40878,5.45,1.92,11.89,15.12,148.97,166.31
"63",131,2002,997.0889,14.73,9.6,742.087,1309.23,1771.583,2528.4
"64",133,2002,73.9144,0.62,NA,NA,NA,11.24,11.86
"65",135,2002,214.159,11.86,NA,0,NA,60.06,71.92
"66",137,2002,569.231,12.94,0.43,0.45,3.9,157.68,171.07
"67",139,2002,876.3444,5.73,5.73,34.476,75.45,38.264,78.47
"68",141,2002,241.6111,17.02,NA,NA,NA,62.61,79.63
"69",143,2002,1800.3949,37.8,60.89,86.068,1590.97,1016.592,1140.46
"70",145,2002,32.6476,6.33,0.64,0.58,1.69,21.55,28.46
"71",147,2002,408.714,10.06,1218.65,38.6,9406.98,-11.93,48.66
"72",149,2002,326.456752,2.09,NA,0,NA,0,2.09
"73",153,2002,21593.872,17.38,2.58,3.4,144.05,308.17,328.95
"74",155,2002,1760.111,5.81,NA,NA,NA,36.44,42.25
"75",157,2002,14.576,17.75,NA,NA,NA,20.64,38.39
"76",159,2002,190.5196,5.44,NA,0,NA,37.36,42.8
"77",161,2002,7430.9603,16.64,241.6,20.7,-19.35,-12.38,37.34
"78",163,2002,1333.348511,17.53,NA,0,NA,25.17,42.7
"79",165,2002,8784.345484,82.7,64.53,276.896,1085.77,1274.544,1634.14
"80",167,2002,1644.2773,5.37,NA,0,NA,20.31,25.68
"81",169,2002,380.623,12.93,NA,NA,NA,23.21,36.14
"82",171,2002,1967.5901,30.19,21.62,30.277,134.69,176.443,236.91
"83",173,2002,2503.458,6.75,NA,0,NA,15.33,22.08
"84",175,2002,6068.35342,4.74,0.63,41,77.23,589.86,635.6
"85",177,2002,3729.491,11.72,53.63,60.56,18.16,-31.52,72.28
"86",179,2002,3516.87,5.43,NA,NA,NA,29.28,34.71
"87",181,2002,136.30141,7.42,7.91,53.203,318.37,262.717,323.34
"88",183,2002,397.3285,3.48,1.63,38.6,193.62,270.35,312.43
"89",185,2002,1763.684,6.58,NA,NA,NA,48.99,55.57
"90",187,2002,3691.9461,10.03,NA,NA,NA,0,10.03
"91",191,2002,3081.793,15.24,NA,NA,NA,30.33,45.57
"92",193,2002,663.730732,17.17,10.62,311.381,-9.13,132.669,461.22
"93",195,2002,2350.4953,2.33,NA,NA,NA,3.5,5.83
"94",197,2002,1596.5893,9.97,NA,NA,NA,21.82,31.79
"95",199,2002,31129.510681,4.9,NA,NA,NA,1.76,6.66
"96",510,2002,5.003,NA,NA,NA,NA,NA,0
"97",530,2002,753.78,NA,NA,NA,NA,NA,0
"98",540,2002,17.10723,NA,NA,NA,NA,NA,0
"99",550,2002,1681.9399,16.04,NA,0,NA,50.81,66.85
"100",580,2002,1164.855,NA,NA,NA,NA,NA,0
"101",590,2002,4707.294,NA,NA,NA,NA,NA,0
"102",595,2002,561.178,NA,NA,NA,NA,NA,0
"103",600,2002,35.655,NA,NA,NA,NA,NA,0
"104",620,2002,388.873,NA,NA,NA,NA,NA,0
"105",630,2002,0,NA,NA,NA,NA,NA,0
"106",640,2002,749.96,NA,NA,NA,NA,NA,0
"107",650,2002,6.583,NA,NA,NA,NA,NA,0
"108",660,2002,25.68,NA,NA,NA,NA,NA,0
"109",670,2002,58594.886,NA,NA,NA,NA,NA,0
"110",678,2002,13,NA,NA,NA,NA,NA,0
"111",680,2002,39.8,NA,NA,NA,NA,NA,0
"112",683,2002,4003.318,NA,NA,NA,NA,NA,0
"113",685,2002,162.569,NA,NA,NA,NA,NA,0
"114",690,2002,995.4,NA,NA,NA,NA,NA,0
"115",700,2002,15609.9845,NA,NA,NA,NA,NA,0
"116",710,2002,1541.6775,NA,NA,NA,NA,NA,0
"117",720,2002,309.9,NA,NA,NA,NA,NA,0
"118",730,2002,1.45,NA,NA,NA,NA,NA,0
"119",740,2002,165.57,NA,NA,NA,NA,NA,0
"120",750,2002,1086.76,NA,NA,NA,NA,NA,0
"121",760,2002,35005.835,NA,NA,NA,NA,NA,0
"122",770,2002,3939.345,NA,NA,NA,NA,NA,0
"123",775,2002,1429.154,NA,NA,NA,NA,NA,0
"124",800,2002,35591.817279,16.96,15.05,208.64,-82.65,-68.93,225.6
"125",810,2002,10522.4833922,14.16,NA,0,NA,61.57,75.73
"126",820,2002,2718.88,NA,NA,NA,NA,NA,0
"127",830,2002,843.6,NA,NA,NA,NA,NA,0
"128",840,2002,107.608,NA,NA,NA,NA,NA,0
"129",NA,2002,323.6883,NA,NA,NA,NA,NA,0
"130",1,2003,4921.331657,6.75,15.47,3104.2237,-842.97,-2333.0337,3110.9737
"131",3,2003,3636.6436,4.59,NA,NA,NA,42.95,47.54
"132",5,2003,15721.783,1.42,NA,0,NA,13.41,14.83
"133",7,2003,0,4.6,NA,0,NA,47.23,51.83
"134",9,2003,6576.832,0.58,NA,NA,NA,2.55,3.13
"135",11,2003,81.33,1.53,NA,NA,NA,1.86,3.39
"136",13,2003,31.044,NA,NA,NA,NA,NA,0
"137",15,2003,4056.825,12.31,15.83,141.597,142.37,63.273,217.18
"138",17,2003,4462.6829,0.83,NA,NA,NA,1.42,2.25
"139",19,2003,4029.9904,0.17,NA,NA,NA,0.88,1.05
"140",21,2003,62.937,1.3,NA,NA,NA,16.24,17.54
"141",23,2003,2193.3006,1.22,NA,NA,NA,1.6,2.82
"142",25,2003,271.093,2.92,NA,0,NA,120.38,123.3
"143",27,2003,274.751,NA,NA,NA,NA,NA,0
"144",29,2003,797.7879,2.74,NA,NA,NA,5.4,8.14
"145",31,2003,1988.4549,7.86,NA,0,NA,34,41.86
"146",33,2003,1283.25574,3.46,1.16,129.274,-7.36,170.706,303.44
"147",35,2003,175.4273,-1.33,NA,0,NA,-35.54,0
"148",36,2003,192.29469,0.98,2.56,140,19.82,-50.54,140.98
"149",37,2003,113.567,11.27,NA,0,NA,61.72,72.99
"150",41,2003,34078.7701,3.12,3.58,15.4,-0.18,-5.65,18.52
"151",43,2003,197.5757,4.25,0.73,1.5,0.83,20.32,26.07
"152",45,2003,757.067,1.25,NA,NA,NA,4.14,5.39
"153",47,2003,599.078,9.19,1.91,5.302,2.64,50.378,64.87
"154",49,2003,2.2051,3.55,NA,NA,NA,22.24,25.79
"155",51,2003,1540.376,0.93,NA,NA,NA,0,0.93
"156",53,2003,17.522,2.98,0.11,0.217,2.78,98.993,102.19
"157",57,2003,174.6372,2.33,1.11,24.42,-18.63,-12.96,26.75
"158",59,2003,29771.4871,6.44,84.62,54.1,-54.1,-54.1,60.54
"159",61,2003,983.8588,17.86,NA,NA,NA,39.51,57.37
"160",63,2003,56.847,5.3,16.03,10.5,-3.11,-8.03,15.8
"161",65,2003,279.15,4.74,NA,NA,NA,14.85,19.59
"162",67,2003,388.448,24.33,NA,0,NA,149.52,173.85
"163",69,2003,1025.3919,12.27,21.23,6,39.88,12.33,30.6
"164",71,2003,24316.547,1.84,NA,NA,NA,0.24,2.08
"165",73,2003,479.707,2.38,NA,NA,NA,0.17,2.55
"166",75,2003,400.825,3.27,NA,0,NA,6.86,10.13
"167",77,2003,64.691,1.75,NA,NA,NA,3.72,5.47
"168",79,2003,183.9189,2.76,NA,0,NA,0.41,3.17
"169",81,2003,34.0449,0.86,NA,0,NA,41.31,42.17
"170",83,2003,760.9566,4.69,0.06,0.015,0.72,80.025,84.73
"171",85,2003,6188.66967,8.39,8.48,75.178,86.52,44.992,128.56
"172",87,2003,112.356,1.13,NA,NA,NA,0,1.13
"173",89,2003,1669.303,-0.56,NA,NA,NA,-5.33,0
"174",91,2003,2916.7336,1.27,NA,NA,NA,1.54,2.81
"175",93,2003,14104.7598,2.72,0.16,2,1.77,76.36,81.08
"176",95,2003,1633.328959,1.34,NA,NA,NA,1.98,3.32
"177",97,2003,65.976,1.49,1.27,62.029,-42.32,-42.859,63.519
"178",99,2003,796.321,3.62,NA,NA,NA,56.76,60.38
"179",101,2003,7205.827952,0.86,0.32,24.1,3.93,87.86,112.82
"180",103,2003,295.2157,0.77,NA,NA,NA,0,0.77
"181",105,2003,650.416,7.75,NA,NA,NA,18.94,26.69
"182",107,2003,1918.676,19.01,1.56,0.97,34.45,166.16,186.14
"183",109,2003,153.9612,7.94,NA,NA,NA,23.2,31.14
"184",111,2003,221.491,3.37,NA,0,NA,104.48,107.85
"185",113,2003,43.799,1.75,NA,NA,NA,0.73,2.48
"186",115,2003,5.1598,0.82,NA,0,NA,1.3,2.12
"187",117,2003,190.511,7.47,NA,0,NA,323.18,330.65
"188",119,2003,70.5389,0.89,1.69,12,9.32,12.08,24.97
"189",121,2003,7622.6086,2.68,2.54,10.4,11.44,10.89,23.97
"190",125,2003,715.97,-0.17,5.66,125.38,-62.56,-126.97,125.38
"191",127,2003,7660.00172,0.75,0.91,5.62,7.15,16.55,22.92
"192",131,2003,738.04504,4.17,5.92,457.66466,807.43,253.43534,715.27
"193",133,2003,66.5523,0.05,NA,NA,NA,0.92,0.97
"194",135,2003,216.402,2.75,NA,NA,NA,13.94,16.69
"195",137,2003,536.752,6.76,NA,0,NA,82.58,89.34
"196",139,2003,773.7486,2.37,NA,0,NA,30.04,32.41
"197",141,2003,241.795,-6.25,NA,NA,NA,-22.97,0
"198",143,2003,1773.663,1.26,NA,0,NA,36.62,37.88
"199",145,2003,38.4136,2.01,5.33,4.81,14.02,2.24,9.06
"200",147,2003,361.3264,3.87,23.49,0.744,181.32,9.496,14.11
"201",149,2003,108.887226,0.56,NA,0,NA,0,0.56
"202",153,2003,20291.813,7.24,NA,0,NA,129.74,136.98
"203",155,2003,1682.551,2.15,NA,NA,NA,13.46,15.61
"204",157,2003,13.345,2.8,NA,NA,NA,3.26,6.06
"205",159,2003,117.9943,1.28,NA,0,NA,8.78,10.06
"206",161,2003,6991.8365,4.29,4.67,0.4,-0.37,1.75,6.44
"207",163,2003,1066.0726,4.3,NA,0,NA,6.18,10.48
"208",165,2003,7790.53,27.57,7.58,32.521,127.52,484.619,544.71
"209",167,2003,1288.082,0.03,NA,0,NA,0.11,0.14
"210",169,2003,384.929,3.42,NA,NA,NA,6.13,9.55
"211",171,2003,1691.246,10.29,NA,0,NA,70.44,80.73
"212",173,2003,2567.973,0.7,NA,0,NA,1.6,2.3
"213",175,2003,2264.03714,3.04,0.78,50.95,95.97,353.75,407.74
"214",177,2003,3754.002,7.02,1.06,1.2,0.36,16.19,24.41
"215",179,2003,3487.074,3.32,NA,NA,NA,17.91,21.23
"216",181,2003,98.0439,2.6,1.29,8.661,51.83,102.149,113.41
"217",183,2003,351.8869,1.73,0.8,18.9,94.8,134.84,155.47
"218",185,2003,1680.703,2.29,NA,NA,NA,17.02,19.31
"219",187,2003,3966.652,4.03,NA,NA,NA,0,4.03
"220",191,2003,3165.058,-0.11,NA,NA,NA,-0.23,0
"221",193,2003,546.9156,7.66,7.63,223.695,-6.56,-25.635,231.355
"222",195,2003,2246.494,0.75,NA,NA,NA,1.12,1.87
"223",197,2003,2576.606,3.47,NA,NA,NA,7.59,11.06
"224",199,2003,31027.3086,0.76,NA,NA,NA,0.27,1.03
"225",510,2003,5.59,NA,NA,NA,NA,NA,0
"226",530,2003,253.68,NA,NA,NA,NA,NA,0
"227",540,2003,4.733,NA,NA,NA,NA,NA,0
"228",550,2003,4650.718044,5.66,7.3,0.983792,13.79,16.93621,23.580002
"229",580,2003,1012.33,NA,NA,NA,NA,NA,0
"230",590,2003,4467.083,NA,NA,NA,NA,NA,0
"231",595,2003,545.677,NA,NA,NA,NA,NA,0
"232",600,2003,14.65,NA,NA,NA,NA,NA,0
"233",620,2003,385.189,NA,NA,NA,NA,NA,0
"234",630,2003,0,NA,NA,NA,NA,NA,0
"235",640,2003,608.43,NA,NA,NA,NA,NA,0
"236",650,2003,229.400336,NA,NA,NA,NA,NA,0
"237",660,2003,72.3,NA,NA,NA,NA,NA,0
"238",670,2003,55619.081,NA,NA,NA,NA,NA,0
"239",678,2003,0,NA,NA,NA,NA,NA,0
"240",680,2003,128.8,NA,NA,NA,NA,NA,0
"241",683,2003,4300.736,NA,NA,NA,NA,NA,0
"242",685,2003,205.221,NA,NA,NA,NA,NA,0
"243",690,2003,1032.7,NA,NA,NA,NA,NA,0
"244",700,2003,12751.56245,NA,NA,NA,NA,NA,0
"245",710,2003,285.1077,NA,NA,NA,NA,NA,0
"246",720,2003,381.6,NA,NA,NA,NA,NA,0
"247",730,2003,14,NA,NA,NA,NA,NA,0
"248",740,2003,168.465,NA,NA,NA,NA,NA,0
"249",750,2003,1150.9297,NA,NA,NA,NA,NA,0
"250",760,2003,30551.935,NA,NA,NA,NA,NA,0
"251",770,2003,5102.191,NA,NA,NA,NA,NA,0
"252",775,2003,1050.631,NA,NA,NA,NA,NA,0
"253",800,2003,30355.4162,11.28,14.18,196.69,-77.91,-103.74,207.97
"254",810,2003,3156.889,4.15,NA,4,NA,14.03,22.18
"255",820,2003,2403.112,NA,NA,NA,NA,NA,0
"256",830,2003,354.667249,NA,NA,NA,NA,NA,0
"257",840,2003,60.7955,NA,NA,NA,NA,NA,0
"258",NA,2003,362.686491,NA,NA,NA,NA,NA,0
"259",1,2004,3826.463078,0.44,10.86,2178.6459,-591.63,-2128.4859,2179.0859
"260",3,2004,3962.27139,18.86,NA,NA,NA,176.42,195.28
"261",5,2004,15206.467,2.37,NA,NA,NA,22.42,24.79
"262",7,2004,0,1.81,NA,0,NA,18.62,20.43
"263",9,2004,6806.8998,4.26,NA,NA,NA,18.91,23.17
"264",11,2004,86.59,5.1,NA,NA,NA,6.17,11.27
"265",13,2004,29.4525,NA,NA,NA,NA,NA,0
"266",15,2004,3990.4075,42.78,9.83,87.989,88.47,624.031,754.8
"267",17,2004,4344.0645,1.83,NA,NA,NA,3.13,4.96
"268",19,2004,4532.8288,8.83,0.05,0.05,0,46.64,55.52
"269",21,2004,59.985,1.17,NA,NA,NA,14.64,15.81
"270",23,2004,997.5791,5.99,NA,NA,NA,7.79,13.78
"271",25,2004,1013.78,1.09,NA,0,NA,44.96,46.05
"272",27,2004,275.534,NA,NA,NA,NA,NA,0
"273",29,2004,204.742,2.66,NA,NA,NA,5.26,7.92
"274",31,2004,2044.8746,14.41,2.42,5.34,-0.61,57,76.75
"275",33,2004,1366.0375,1.17,1.39,155.723,-8.86,-54.193,156.893
"276",35,2004,174.5737,3.81,NA,0,NA,101.64,105.45
"277",36,2004,51.6081,-0.6,0.25,13.79,1.95,-69.05,13.79
"278",37,2004,148.0165,6.37,28.48,18.2,119.48,16.68,41.25
"279",41,2004,34553.8402,0.4,3.67,15.8,-0.19,-14.54,16.2
"280",43,2004,214.469,11.51,NA,0,NA,59.03,70.54
"281",45,2004,1130.353,3.17,NA,NA,NA,10.47,13.64
"282",47,2004,687.4135,17.34,9.53,26.4275,13.16,78.6125,122.38
"283",49,2004,2.242,1.89,NA,NA,NA,11.8,13.69
"284",51,2004,1622.2731,1.8,NA,NA,NA,0,1.8
"285",53,2004,21.0767,1.36,NA,0,NA,45.36,46.72
"286",57,2004,172.8791,-0.45,1.3,28.5,-21.74,-30.7,28.5
"287",59,2004,31179.9948,9.78,27.22,17.4,-17.4,-17.4,27.18
"288",61,2004,1057.2515,42.25,NA,NA,NA,93.48,135.73
"289",63,2004,66.3738,26.61,26.9,17.6218,-5.22,-5.2018,44.2318
"290",65,2004,74.763,2.19,NA,NA,NA,6.83,9.02
"291",67,2004,437.6641,8.81,NA,0,NA,54.15,62.96
"292",69,2004,1689.334,23.48,21.23,6,39.88,29.09,58.57
"293",71,2004,24026.141,5.8,NA,NA,NA,0.74,6.54
"294",73,2004,485.985,-1.5,NA,0,NA,-0.11,0
"295",75,2004,626.1503,0.94,NA,0,NA,1.96,2.9
"296",77,2004,76.693,6.81,NA,NA,NA,14.54,21.35
"297",79,2004,198.2778,7.21,NA,0,NA,1.07,8.28
"298",81,2004,985.7455,0.34,0.48,24.75,-0.74,-8.59,25.09
"299",83,2004,794.2524,7.75,NA,0,NA,132.16,139.91
"300",85,2004,5934.875829,7.71,9.74,86.391,99.42,24.039,118.14
"301",87,2004,8652.7109,0.14,NA,NA,NA,0,0.14
"302",89,2004,1081.018,2.29,NA,0,NA,21.56,23.85
"303",91,2004,3298.5548,2.44,NA,NA,NA,2.99,5.43
"304",93,2004,14822.334604,-0.61,0.24,3,2.65,-20.67,3
"305",95,2004,1743.284656,-0.68,NA,NA,NA,-1,0
"306",97,2004,154.6606,-0.76,3.06,149.5326,-102.03,-159.3026,149.5326
"307",99,2004,902.3829,2.8,0.33,7.4,-1.05,36.39,46.59
"308",101,2004,7266.077786,0.05,0.6,45.04,7.35,-38.58,45.09
"309",103,2004,487.3066,0.5,NA,NA,NA,0,0.5
"310",105,2004,635.993,12.46,NA,NA,NA,30.43,42.89
"311",107,2004,2510.3395,53.45,62.94,39.1085,1389.05,430.8215,523.38
"312",109,2004,162.09757,5.67,NA,NA,NA,16.57,22.24
"313",111,2004,225.2288,1.77,NA,0,NA,55.05,56.82
"314",113,2004,50.638,10.61,NA,NA,NA,4.4,15.01
"315",115,2004,1.289,0.32,NA,NA,NA,0.5,0.82
"316",117,2004,609.9384,5.16,4.15,0.567,97.38,222.573,228.3
"317",119,2004,62.7574,0.11,2.04,14.5,11.26,-11.55,14.61
"318",121,2004,8037.1723,8.83,2.45,10,11,60.24,79.07
"319",125,2004,779.2303,10.15,7.71,170.87,-85.26,-77.8,181.02
"320",127,2004,8158.5187,-0.16,2.16,13.3597,16.99,-18.0797,13.3597
"321",131,2004,731.483239,1.94,5.95,459.486102,810.65,-128.7461,461.426102
"322",133,2004,62.9152,0.01,NA,NA,NA,0.27,0.28
"323",135,2004,226.1633,2.19,NA,NA,NA,11.06,13.25
"324",137,2004,600.851,7.04,NA,0,NA,86.1,93.14
"325",139,2004,756.8933,5.3,0.85,5.13,11.23,62.07,72.5
"326",141,2004,236.7354,4.22,NA,0,NA,15.54,19.76
"327",143,2004,1493.7455,14.37,3.97,5.618,103.85,413.472,433.46
"328",145,2004,40.3521,0.25,2.44,2.2,6.41,-1.33,2.45
"329",147,2004,379.1028,3.29,262.04,8.3,2022.74,0.42,12.01
"330",149,2004,233.4826,0.03,NA,17.46,NA,-17.46,17.49
"331",153,2004,20958.728,10.47,NA,0,NA,187.73,198.2
"332",155,2004,1724.32,4.12,NA,NA,NA,25.81,29.93
"333",157,2004,14.242,13.83,NA,NA,NA,16.07,29.9
"334",159,2004,118.86,-0.34,NA,0,NA,-2.34,0
"335",161,2004,7368.0489,9.04,61.27,5.25,-4.91,-0.72,14.29
"336",163,2004,612.3916,10.16,NA,0,NA,14.59,24.75
"337",165,2004,8442.8792,77.41,2.72,11.67,45.76,1440.52,1529.6
"338",167,2004,1401.1267,2.12,NA,0,NA,8.01,10.13
"339",169,2004,388.2952,10.71,NA,NA,NA,19.22,29.93
"340",171,2004,1857.7367,30.75,4.13,5.78,25.71,204.77,241.3
"341",173,2004,1718.0046,4.67,NA,0,NA,10.63,15.3
"342",175,2004,2388.279598,0.07,1.25,81.473,153.46,-72.553,81.543
"343",177,2004,3685.0377,4.37,13.74,15.52,4.65,-4.68,19.89
"344",179,2004,3792.029,2.81,NA,NA,NA,15.16,17.97
"345",181,2004,86.7978,-0.97,NA,0,NA,-41.26,0
"346",183,2004,358.0812,0.76,0.78,18.4,92.3,48.95,68.11
"347",185,2004,1733.1808,2.9,NA,NA,NA,21.62,24.52
"348",187,2004,3417.2102,10.03,NA,NA,NA,0,10.03
"349",191,2004,3045.175,11.06,NA,NA,NA,22.02,33.08
"350",193,2004,472.08045,0.93,5.49,161.042,-4.72,-137.082,161.972
"351",195,2004,2394.404,1.76,NA,NA,NA,2.63,4.39
"352",197,2004,2581.357,6.66,NA,NA,NA,14.58,21.24
"353",199,2004,30823.8643,-0.78,NA,NA,NA,-0.27,0
"354",510,2004,5.309,NA,NA,NA,NA,NA,0
"355",530,2004,474.968,NA,NA,NA,NA,NA,0
"356",540,2004,10.231,NA,NA,NA,NA,NA,0
"357",550,2004,4932.15236,-2.53,7.32,0.98581,13.82,-8.99581,0.98581
"358",580,2004,1109.44,NA,NA,NA,NA,NA,0
"359",590,2004,4030.776,NA,NA,NA,NA,NA,0
"360",595,2004,380.78,NA,NA,NA,NA,NA,0
"361",600,2004,14.59,NA,NA,NA,NA,NA,0
"362",620,2004,392.723,NA,NA,NA,NA,NA,0
"363",630,2004,438.906,NA,NA,NA,NA,NA,0
"364",640,2004,571.96,NA,NA,NA,NA,NA,0
"365",650,2004,23.047836,NA,NA,NA,NA,NA,0
"366",660,2004,19.929,NA,NA,NA,NA,NA,0
"367",670,2004,58868.584,NA,NA,NA,NA,NA,0
"368",678,2004,0,NA,NA,NA,NA,NA,0
"369",680,2004,86.5,NA,NA,NA,NA,NA,0
"370",683,2004,4102.485,NA,NA,NA,NA,NA,0
"371",685,2004,10.063,NA,NA,NA,NA,NA,0
"372",690,2004,1038.7,NA,NA,NA,NA,NA,0
"373",700,2004,12721.727019,NA,NA,NA,NA,NA,0
"374",710,2004,582.57,NA,NA,NA,NA,NA,0
"375",720,2004,394.3,NA,NA,NA,NA,NA,0
"376",730,2004,0,NA,NA,NA,NA,NA,0
"377",740,2004,177.9207,NA,NA,NA,NA,NA,0
"378",750,2004,835.294,NA,NA,NA,NA,NA,0
"379",760,2004,27560.366,NA,NA,NA,NA,NA,0
"380",770,2004,6117.834,NA,NA,NA,NA,NA,0
"381",775,2004,1236.448,NA,NA,NA,NA,NA,0
"382",800,2004,34540.961863,0,NA,0,NA,0,0
"383",810,2004,5814.974298,-2.43,NA,3.6,NA,-14.15,3.6
"384",820,2004,2427.299,NA,NA,NA,NA,NA,0
"385",830,2004,365.837481,NA,NA,NA,NA,NA,0
"386",840,2004,60.8045,NA,NA,NA,NA,NA,0
"387",NA,2004,182.76714,NA,NA,NA,NA,NA,0
"388",1,2005,2827.836075,8.17,6.23,1250.301408,-339.53,-316.08141,1258.471408
"389",3,2005,4157.448,30.27,NA,NA,NA,283.21,313.48
"390",5,2005,15618.3896,1.98,NA,NA,NA,18.79,20.77
"391",7,2005,4.8587,11.84,2.75,4.8587,21.43,116.8613,133.56
"392",9,2005,6454.229,5.2,NA,NA,NA,23.13,28.33
"393",11,2005,93.9297,8.35,NA,NA,NA,10.09,18.44
"394",13,2005,38.87,NA,NA,NA,NA,NA,0
"395",15,2005,3908.3343,49.84,29.91,267.6073,269.07,561.9627,879.41
"396",17,2005,4057.23,1.47,NA,NA,NA,2.52,3.99
"397",19,2005,5161.29369,13.08,NA,0,NA,69.15,82.23
"398",21,2005,63.2248,1.97,NA,NA,NA,24.62,26.59
"399",23,2005,1809.00333,4.79,NA,NA,NA,6.23,11.02
"400",25,2005,772.927,10.89,NA,0,NA,449.61,460.5
"401",27,2005,298.906,NA,NA,NA,NA,NA,0
"402",29,2005,409.9652,4.19,NA,NA,NA,8.27,12.46
"403",31,2005,2722.6743,27.29,14.51,32.07,-3.63,85.99,145.35
"404",33,2005,1863.2687,6.6,4.18,466.696,-26.55,105.584,578.88
