"","County_Code","County_Name","Irrigated_Operations","Irrigated_Acreage","Size_Bins","Ops_Bins","GEOID","data_status"
"37",77,"GRAYSON",15,97,3,7,"51077","Available in USDA dataset"
"38",79,"GREENE",20,154,2,7,"51079","Available in USDA dataset"
"40",83,"HALIFAX",59,1549,7,11,"51083","Available in both datasets"
"41",85,"HANOVER",50,3188,3,12,"51085","Available in both datasets"
"43",89,"HENRY",10,524,1,6,"51089","Available in USDA dataset"
"44",93,"ISLE OF WIGHT",15,702,2,6,"51093","Available in both datasets"
"45",95,"JAMES CITY",6,29,0,5,"51095","Available in USDA dataset"
"47",99,"KING GEORGE",11,672,2,5,"51099","Available in both datasets"
"48",101,"KING WILLIAM",15,2690,1,8,"51101","Available in both datasets"
"50",105,"LEE",21,297,2,8,"51105","Available in USDA dataset"
"51",107,"LOUDOUN",76,3533,6,12,"51107","Available in both datasets"
"52",109,"LOUISA",26,278,3,7,"51109","Available in USDA dataset"
"53",111,"LUNENBURG",26,770,5,8,"51111","Available in both datasets"
"54",113,"MADISON",18,69,2,5,"51113","Available in USDA dataset"
"55",115,"MATHEWS",9,53,0,3,"51115","Available in USDA dataset"
"56",117,"MECKLENBURG",81,3235,9,11,"51117","Available in both datasets"
"57",119,"MIDDLESEX",3,480,0,3,"51119","Available in both datasets"
"58",121,"MONTGOMERY",21,383,2,6,"51121","Available in both datasets"
"59",125,"NELSON",37,775,3,11,"51125","Available in both datasets"
"60",127,"NEW KENT",9,496,1,7,"51127","Available in both datasets"
"61",131,"NORTHAMPTON",60,9286,6,12,"51131","Available in both datasets"
"62",133,"NORTHUMBERLAND",5,62,0,2,"51133","Available in USDA dataset"
"63",135,"NOTTOWAY",19,385,3,8,"51135","Available in USDA dataset"
"64",137,"ORANGE",26,627,3,9,"51137","Available in both datasets"
"65",139,"PAGE",14,295,1,5,"51139","Available in both datasets"
"66",141,"PATRICK",36,432,4,7,"51141","Available in both datasets"
"67",143,"PITTSYLVANIA",127,4187,10,12,"51143","Available in both datasets"
"68",145,"POWHATAN",7,28,0,3,"51145","Available in both datasets"
"69",147,"PRINCE EDWARD",11,124,1,5,"51147","Available in both datasets"
"71",153,"PRINCE WILLIAM",26,685,4,7,"51153","Available in both datasets"
"72",155,"PULASKI",8,241,1,4,"51155","Available in USDA dataset"
"73",157,"RAPPAHANNOCK",27,131,4,8,"51157","Available in USDA dataset"
"74",159,"RICHMOND",10,243,1,4,"51159","Available in USDA dataset"
"75",161,"ROANOKE",14,93,2,5,"51161","Available in both datasets"
"76",163,"ROCKBRIDGE",15,110,2,7,"51163","Available in both datasets"
"77",165,"ROCKINGHAM",137,4808,11,11,"51165","Available in both datasets"
"78",167,"RUSSELL",15,134,2,5,"51167","Available in both datasets"
"79",169,"SCOTT",23,243,3,7,"51169","Available in USDA dataset"
"80",171,"SHENANDOAH",38,756,4,10,"51171","Available in both datasets"
"81",173,"SMYTH",24,188,4,9,"51173","Available in both datasets"
"82",175,"SOUTHAMPTON",34,3507,5,10,"51175","Available in both datasets"
"83",177,"SPOTSYLVANIA",13,144,1,5,"51177","Available in both datasets"
"84",179,"STAFFORD",15,221,2,5,"51179","Available in USDA dataset"
"85",181,"SURRY",14,1028,2,6,"51181","Available in both datasets"
"86",183,"SUSSEX",14,1644,2,5,"51183","Available in both datasets"
"87",185,"TAZEWELL",10,330,1,5,"51185","Available in USDA dataset"
"88",187,"WARREN",18,58,1,4,"51187","Available in USDA dataset"
"89",191,"WASHINGTON",47,410,5,8,"51191","Available in USDA dataset"
"90",193,"WESTMORELAND",24,1674,2,10,"51193","Available in both datasets"
"91",195,"WISE",8,115,0,3,"51195","Available in USDA dataset"
"92",197,"WYTHE",19,163,3,6,"51197","Available in USDA dataset"
"93",199,"YORK",5,18,0,3,"51199","Available in USDA dataset"
"94",550,"CHESAPEAKE CITY",34,239,2,6,"51550","Available in both datasets"
"95",800,"SUFFOLK CITY",23,616,2,7,"51800","Available in both datasets"
"96",810,"VIRGINIA BEACH CITY",22,194,2,6,"51810","Available in both datasets"
