"","County_Code","County_Name","Irrigated_Operations","Irrigated_Acreage","Size_Bins","Ops_Bins","GEOID","data_status"
"72",149,"PRINCE GEORGE",6,8,0,2,"51149","Available in both datasets"
"73",153,"PRINCE WILLIAM",27,1006,3,7,"51153","Available in both datasets"
"74",155,"PULASKI",8,14,1,3,"51155","Available in USDA dataset"
"75",157,"RAPPAHANNOCK",21,121,2,6,"51157","Available in USDA dataset"
"76",159,"RICHMOND",5,127,0,4,"51159","Available in USDA dataset"
"77",161,"ROANOKE",14,96,3,3,"51161","Available in both datasets"
"78",163,"ROCKBRIDGE",26,137,2,6,"51163","Available in both datasets"
"79",165,"ROCKINGHAM",182,5645,9,12,"51165","Available in both datasets"
"80",167,"RUSSELL",5,12,0,3,"51167","Available in both datasets"
"81",169,"SCOTT",15,55,2,6,"51169","Available in USDA dataset"
"82",171,"SHENANDOAH",50,719,3,8,"51171","Available in both datasets"
"83",173,"SMYTH",10,18,1,4,"51173","Available in both datasets"
"84",175,"SOUTHAMPTON",20,3246,3,7,"51175","Available in both datasets"
"85",177,"SPOTSYLVANIA",20,58,2,6,"51177","Available in both datasets"
"86",179,"STAFFORD",9,24,1,4,"51179","Available in both datasets"
"87",181,"SURRY",21,1237,1,6,"51181","Available in both datasets"
"88",183,"SUSSEX",20,1372,3,9,"51183","Available in both datasets"
"89",185,"TAZEWELL",18,18,3,3,"51185","Available in USDA dataset"
"90",187,"WARREN",11,12,2,2,"51187","Available in USDA dataset"
"91",191,"WASHINGTON",35,224,4,9,"51191","Available in USDA dataset"
"92",193,"WESTMORELAND",26,1641,3,10,"51193","Available in both datasets"
"93",195,"WISE",11,11,1,4,"51195","Available in USDA dataset"
"94",197,"WYTHE",12,72,2,5,"51197","Available in USDA dataset"
"95",199,"YORK",7,22,1,4,"51199","Available in USDA dataset"
"96",550,"CHESAPEAKE CITY",31,283,2,5,"51550","Available in both datasets"
"97",800,"SUFFOLK CITY",28,413,2,8,"51800","Available in both datasets"
"98",810,"VIRGINIA BEACH CITY",27,180,4,7,"51810","Available in both datasets"
