"","GEOID","COUNTYFP","NAME","Count","Facility_withdrawal_mg","withdrawal.per.facility"
"32","51065","065","Fluvanna",NA,NA,NA
"97","51520","520","Bristol",NA,NA,NA
"124","51750","750","Radford",NA,NA,NA
"125","51760","760","Richmond",1,1.19,1.19
"11","51021","021","Bland",NA,NA,NA
"133","51840","840","Winchester",NA,NA,NA
"88","51183","183","Sussex",4,195.364,48.841
"103","51590","590","Danville",NA,NA,NA
"131","51820","820","Waynesboro",NA,NA,NA
"129","51800","800","Suffolk",1,111.95,111.95
"18","51035","035","Carroll",NA,NA,NA
"112","51670","670","Hopewell",NA,NA,NA
"98","51530","530","Buena Vista",NA,NA,NA
"35","51071","071","Giles",NA,NA,NA
"126","51770","770","Roanoke",NA,NA,NA
"127","51775","775","Salem",NA,NA,NA
"107","51620","620","Franklin",NA,NA,NA
"119","51710","710","Norfolk",NA,NA,NA
"122","51735","735","Poquoson",NA,NA,NA
"111","51660","660","Harrisonburg",NA,NA,NA
"109","51640","640","Galax",NA,NA,NA
"118","51700","700","Newport News",NA,NA,NA
"38","51077","077","Grayson",NA,NA,NA
"5","51009","009","Amherst",NA,NA,NA
"24","51047","047","Culpeper",2,81.2651,40.63255
"59","51119","119","Middlesex",2,22.39,11.195
"67","51139","139","Page",1,25.55,25.55
"121","51730","730","Petersburg",1,3.6,3.6
"48","51097","097","King and Queen",3,418.6888,139.562933333333
"117","51690","690","Martinsville",NA,NA,NA
"80","51167","167","Russell",NA,NA,NA
"104","51595","595","Emporia",NA,NA,NA
"113","51678","678","Lexington",NA,NA,NA
"30","51061","061","Fauquier",NA,NA,NA
"58","51117","117","Mecklenburg",NA,NA,NA
"1","51001","001","Accomack",23,1673.84777,72.77599
"54","51109","109","Louisa",NA,NA,NA
"78","51163","163","Rockbridge",NA,NA,NA
