"","GEOID","COUNTYFP","NAMELSAD","Data Status"
"65","51135","135","Nottoway County","Available in USDA dataset"
"108","51630","630","Fredericksburg city","Missing in both datsets"
"25","51049","049","Cumberland County","Available in USDA dataset"
"116","51685","685","Manassas Park city","Missing in both datsets"
"99","51540","540","Charlottesville city","Missing in both datsets"
"101","51570","570","Colonial Heights city","Missing in both datsets"
"106","51610","610","Falls Church city","Missing in both datsets"
"128","51790","790","Staunton city","Missing in both datsets"
"132","51830","830","Williamsburg city","Missing in both datsets"
"83","51173","173","Smyth County","Available in both datasets"
"96","51510","510","Alexandria city","Missing in both datsets"
"7","51013","013","Arlington County","Available in USDA dataset"
"23","51045","045","Craig County","Available in both datasets"
"102","51580","580","Covington city","Missing in both datsets"
"105","51600","600","Fairfax city","Missing in both datsets"
"94","51197","197","Wythe County","Available in USDA dataset"
"57","51115","115","Mathews County","Available in USDA dataset"
"81","51169","169","Scott County","Available in USDA dataset"
"110","51650","650","Hampton city","Missing in both datsets"
"114","51680","680","Lynchburg city","Missing in both datsets"
"115","51683","683","Manassas city","Missing in both datsets"
"100","51550","550","Chesapeake city","Available in both datasets"
"32","51065","065","Fluvanna County","Available in USDA dataset"
"97","51520","520","Bristol city","Missing in both datsets"
"124","51750","750","Radford city","Missing in both datsets"
"125","51760","760","Richmond city","Available in DEQ dataset"
"11","51021","021","Bland County","Available in USDA dataset"
"133","51840","840","Winchester city","Missing in both datsets"
"88","51183","183","Sussex County","Available in both datasets"
"103","51590","590","Danville city","Missing in both datsets"
"131","51820","820","Waynesboro city","Missing in both datsets"
"129","51800","800","Suffolk city","Available in both datasets"
"18","51035","035","Carroll County","Available in both datasets"
"112","51670","670","Hopewell city","Missing in both datsets"
"98","51530","530","Buena Vista city","Missing in both datsets"
"35","51071","071","Giles County","Available in USDA dataset"
"126","51770","770","Roanoke city","Missing in both datsets"
"127","51775","775","Salem city","Missing in both datsets"
"107","51620","620","Franklin city","Missing in both datsets"
"119","51710","710","Norfolk city","Missing in both datsets"
"122","51735","735","Poquoson city","Missing in both datsets"
"111","51660","660","Harrisonburg city","Missing in both datsets"
"109","51640","640","Galax city","Missing in both datsets"
"118","51700","700","Newport News city","Missing in both datsets"
"38","51077","077","Grayson County","Available in USDA dataset"
"5","51009","009","Amherst County","Available in USDA dataset"
"24","51047","047","Culpeper County","Available in both datasets"
"59","51119","119","Middlesex County","Available in both datasets"
"67","51139","139","Page County","Available in both datasets"
"121","51730","730","Petersburg city","Available in DEQ dataset"
"48","51097","097","King and Queen County","Available in both datasets"
"117","51690","690","Martinsville city","Missing in both datsets"
"80","51167","167","Russell County","Available in both datasets"
"104","51595","595","Emporia city","Missing in both datsets"
"113","51678","678","Lexington city","Missing in both datsets"
"30","51061","061","Fauquier County","Available in USDA dataset"
"58","51117","117","Mecklenburg County","Available in both datasets"
"1","51001","001","Accomack County","Available in both datasets"
"54","51109","109","Louisa County","Available in USDA dataset"
"78","51163","163","Rockbridge County","Available in both datasets"
