"","County_Code","County_Name","Irrigated_Operations","Irrigated_Acreage","Size_Bins","Ops_Bins","GEOID","data_status"
"30",67,"FRANKLIN",50,441,5,9,"51067","Available in USDA dataset"
"31",69,"FREDERICK",13,39,1,5,"51069","Available in USDA dataset"
"32",71,"GILES",12,27,2,2,"51071","Available in USDA dataset"
"33",73,"GLOUCESTER",8,13,1,4,"51073","Available in USDA dataset"
"34",75,"GOOCHLAND",14,112,1,3,"51075","Available in USDA dataset"
"35",77,"GRAYSON",16,160,1,3,"51077","Available in USDA dataset"
"36",79,"GREENE",12,25,1,4,"51079","Available in USDA dataset"
"38",83,"HALIFAX",40,1061,5,10,"51083","Available in both datasets"
"39",85,"HANOVER",58,3570,5,10,"51085","Available in both datasets"
"41",89,"HENRY",9,43,1,3,"51089","Available in USDA dataset"
"43",93,"ISLE OF WIGHT",18,933,3,7,"51093","Available in both datasets"
"44",95,"JAMES CITY",9,40,1,4,"51095","Available in USDA dataset"
"45",97,"KING AND QUEEN",16,1221,3,5,"51097","Available in both datasets"
"47",101,"KING WILLIAM",10,1618,1,4,"51101","Available in both datasets"
"48",103,"LANCASTER",8,12,1,3,"51103","Available in USDA dataset"
"49",105,"LEE",12,32,2,6,"51105","Available in USDA dataset"
"50",107,"LOUDOUN",74,392,4,7,"51107","Available in USDA dataset"
"51",109,"LOUISA",43,215,4,7,"51109","Available in USDA dataset"
"52",111,"LUNENBURG",29,1408,4,7,"51111","Available in USDA dataset"
"53",113,"MADISON",26,79,1,4,"51113","Available in USDA dataset"
"54",115,"MATHEWS",4,10,0,2,"51115","Available in USDA dataset"
"55",117,"MECKLENBURG",74,4162,8,11,"51117","Available in USDA dataset"
"56",119,"MIDDLESEX",10,270,1,5,"51119","Available in both datasets"
"57",121,"MONTGOMERY",18,323,2,7,"51121","Available in both datasets"
"58",125,"NELSON",39,1016,3,9,"51125","Available in both datasets"
"59",127,"NEW KENT",18,271,3,6,"51127","Available in both datasets"
"60",131,"NORTHAMPTON",33,5858,5,10,"51131","Available in both datasets"
"61",135,"NOTTOWAY",14,44,1,4,"51135","Available in USDA dataset"
"62",137,"ORANGE",16,214,2,8,"51137","Available in USDA dataset"
"63",139,"PAGE",10,108,2,4,"51139","Available in both datasets"
"64",141,"PATRICK",24,213,4,7,"51141","Available in USDA dataset"
"65",143,"PITTSYLVANIA",54,1492,6,12,"51143","Available in both datasets"
"66",145,"POWHATAN",11,63,1,3,"51145","Available in both datasets"
"67",147,"PRINCE EDWARD",10,14,1,4,"51147","Available in USDA dataset"
"69",153,"PRINCE WILLIAM",30,944,2,6,"51153","Available in both datasets"
"70",155,"PULASKI",9,28,0,3,"51155","Available in USDA dataset"
"71",157,"RAPPAHANNOCK",20,61,1,4,"51157","Available in USDA dataset"
"72",159,"RICHMOND",9,29,1,3,"51159","Available in USDA dataset"
"73",161,"ROANOKE",16,71,2,5,"51161","Available in both datasets"
"74",163,"ROCKBRIDGE",17,83,3,7,"51163","Available in USDA dataset"
"75",165,"ROCKINGHAM",160,5526,10,12,"51165","Available in both datasets"
"77",169,"SCOTT",8,14,0,4,"51169","Available in USDA dataset"
"78",171,"SHENANDOAH",38,893,4,10,"51171","Available in both datasets"
"79",173,"SMYTH",7,28,1,3,"51173","Available in USDA dataset"
"80",175,"SOUTHAMPTON",15,1624,2,5,"51175","Available in both datasets"
"81",177,"SPOTSYLVANIA",16,96,2,4,"51177","Available in both datasets"
"82",179,"STAFFORD",10,10,0,2,"51179","Available in USDA dataset"
"83",181,"SURRY",13,929,1,6,"51181","Available in both datasets"
"84",183,"SUSSEX",8,699,0,6,"51183","Available in both datasets"
"86",187,"WARREN",10,10,2,2,"51187","Available in USDA dataset"
"87",191,"WASHINGTON",33,122,4,7,"51191","Available in USDA dataset"
"88",193,"WESTMORELAND",37,881,2,10,"51193","Available in both datasets"
"89",195,"WISE",9,27,0,2,"51195","Available in USDA dataset"
"90",197,"WYTHE",10,18,1,4,"51197","Available in USDA dataset"
"91",199,"YORK",7,11,2,2,"51199","Available in USDA dataset"
"92",550,"CHESAPEAKE CITY",19,72,2,5,"51550","Available in both datasets"
"93",800,"SUFFOLK CITY",12,585,2,5,"51800","Available in both datasets"
"94",810,"VIRGINIA BEACH CITY",30,315,4,6,"51810","Available in USDA dataset"
