"","AREA OPERATED: (1.0 TO 9.9 ACRES)","AREA OPERATED: (10.0 TO 49.9 ACRES)","AREA OPERATED: (50.0 TO 69.9 ACRES)","AREA OPERATED: (70.0 TO 99.9 ACRES)","AREA OPERATED: (100 TO 139 ACRES)","AREA OPERATED: (140 TO 179 ACRES)","AREA OPERATED: (180 TO 219 ACRES)","AREA OPERATED: (220 TO 259 ACRES)","AREA OPERATED: (260 TO 499 ACRES)","AREA OPERATED: (500 TO 999 ACRES)","AREA OPERATED: (1,000 TO 1,999 ACRES)","AREA OPERATED: (2,000 OR MORE ACRES)"
"LOUDOUN","13","43","1","3","6","4","1",NA,"5","1",NA,NA
"LOUISA","3","15","7","9","2",NA,"1",NA,"2","2",NA,NA
"MADISON","9","5","2",NA,"4",NA,"1",NA,"1",NA,"1",NA
"MATHEWS","2","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MECKLENBURG","3","12","3","1","8","1",NA,"4","7","13","9","6"
"MIDDLESEX","2","1",NA,NA,NA,"1","1",NA,NA,NA,"2","1"
"MONTGOMERY","13","7",NA,"1",NA,NA,NA,NA,"2",NA,NA,"1"
"NELSON","9","8","7","3","1","2",NA,NA,"1","2","4",NA
"NEW KENT","1",NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA
"NORTHAMPTON","9","4","3",NA,"1","2","1","1","4","9","7","3"
"NORTHUMBERLAND","1",NA,NA,NA,"1",NA,NA,NA,NA,"2",NA,NA
"NOTTOWAY","2","9",NA,NA,NA,"5",NA,"1",NA,NA,"1",NA
"ORANGE","3","6",NA,"3","6","1","2","1","3","3","1",NA
"PAGE","5","2","1","3",NA,"4",NA,NA,"6","1",NA,NA
"PATRICK","3","18","2","1",NA,"5","3",NA,"1",NA,"1",NA
"PITTSYLVANIA","9","21","3","2","7","8","6","5","20","27","9","3"
"POWHATAN","6","3","2",NA,"2",NA,NA,NA,NA,NA,"2",NA
"PRINCE EDWARD","3","1","1",NA,NA,NA,NA,NA,"3",NA,NA,NA
"PRINCE GEORGE","4",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA
"PRINCE WILLIAM","4","13",NA,"6","1","1","1",NA,NA,NA,NA,"1"
"PULASKI","3","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"RAPPAHANNOCK","4","11","1","3",NA,"1",NA,NA,"1",NA,NA,NA
"RICHMOND","1","2","1",NA,NA,NA,NA,"1",NA,NA,NA,NA
"ROANOKE","3","7",NA,NA,NA,"4",NA,NA,NA,NA,NA,NA
"ROCKBRIDGE","4","13","1","4",NA,"2",NA,NA,NA,NA,"2",NA
"ROCKINGHAM","37","40","12","15","23","8","10","4","23","5","4","1"
"SHENANDOAH","15","14","13",NA,NA,"1",NA,"1","4",NA,"1","1"
"SMYTH","2","4",NA,"2",NA,NA,NA,NA,"2",NA,NA,NA
"SOUTHAMPTON","2","3",NA,"1",NA,NA,NA,NA,"3","3","5","3"
"SPOTSYLVANIA","8","8",NA,"1","1",NA,NA,NA,"1",NA,"1",NA
"STAFFORD","3","2","2","2",NA,NA,NA,NA,NA,NA,NA,NA
"SURRY","2","8",NA,NA,NA,"2",NA,NA,NA,"6","1","2"
"SUSSEX","4","4","1",NA,"3","1","1",NA,NA,"1","4","1"
"WARREN","3","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WASHINGTON","4","17","3","4","1","1","1",NA,"3",NA,"1",NA
"WESTMORELAND","1","6","4","5","3","1",NA,NA,"1","2","2","1"
"WISE","2","5",NA,"2","2",NA,NA,NA,NA,NA,NA,NA
"YORK","4","1","1",NA,NA,NA,NA,NA,NA,NA,"1",NA
"CHESAPEAKE CITY","18","7","4","1",NA,NA,NA,NA,NA,"1",NA,NA
"SUFFOLK CITY","10","9","1",NA,"3","1",NA,NA,"2","1",NA,"1"
"VIRGINIA BEACH CITY","10","6","1","4","1","1",NA,"4",NA,NA,NA,NA
"APPOMATTOX",NA,"11",NA,NA,"2",NA,"2","1","5",NA,"1",NA
"BATH",NA,"2",NA,NA,"2","2",NA,NA,NA,NA,NA,NA
"BUCKINGHAM",NA,"2","2",NA,NA,NA,NA,"1",NA,"1",NA,NA
"CAROLINE",NA,"8","1",NA,NA,NA,NA,"2","1","1","4","1"
"CHARLES CITY",NA,"3",NA,"1",NA,NA,"1",NA,NA,"1",NA,"4"
"CHARLOTTE",NA,"14","1",NA,"7","2","7",NA,"6","7","1","2"
"CHESTERFIELD",NA,"1",NA,"3",NA,"3",NA,NA,"2",NA,NA,NA
"DICKENSON",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FLUVANNA",NA,"15",NA,NA,"3","2",NA,NA,NA,"1",NA,NA
"GOOCHLAND",NA,"3","2","6","2",NA,NA,NA,NA,"2",NA,NA
"ISLE OF WIGHT",NA,"3",NA,"2",NA,NA,NA,NA,NA,"2","5",NA
"JAMES CITY",NA,"2",NA,"3",NA,"2",NA,NA,NA,NA,NA,NA
"KING GEORGE",NA,"7","2",NA,NA,NA,NA,NA,"1","2",NA,NA
"KING WILLIAM",NA,"2",NA,"3",NA,NA,"4",NA,NA,"4","1","1"
"LANCASTER",NA,"1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LUNENBURG",NA,"3",NA,"3","3","2","3",NA,"5","3","2",NA
"SCOTT",NA,"3","2","6","1",NA,NA,NA,"1","2",NA,NA
"TAZEWELL",NA,"10",NA,NA,NA,NA,"4",NA,NA,"4",NA,NA
"WYTHE",NA,"5","3",NA,"2",NA,NA,NA,NA,"1","1",NA
"CUMBERLAND",NA,NA,"1",NA,NA,NA,"3",NA,"1",NA,NA,NA
"RUSSELL",NA,NA,"1",NA,NA,NA,NA,NA,"2","2",NA,NA
"AMHERST",NA,NA,NA,"1","2",NA,NA,NA,"1","1",NA,NA
"BLAND",NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,"1"
