"COUNTYFP","YEAR","County_Name","Facility_withdrawal_mg","Mean_Coeff","Unreported_Coeff_Based"
53,2008,"DINWIDDIE",23.48,26.2272198173845,615.82
57,2008,"ESSEX",147.5,-0.563346159327348,-83.09
69,2008,"FREDERICK",15.6,14.0392552912008,219.01
81,2008,"GREENSVILLE",47.954467,2.5129200773035,120.51
83,2008,"HALIFAX",2.6,205.49750461966,534.29
85,2008,"HANOVER",543.602,3.32687745927574,1808.5
93,2008,"ISLE OF WIGHT",25,13.6411628324045,341.03
97,2008,"KING AND QUEEN",207.08,-0.243257516355705,-50.37
99,2008,"KING GEORGE",201.8,0.556703101239541,112.34
101,2008,"KING WILLIAM",907.42551,3.31877773881157,3011.54
107,2008,"LOUDOUN",39.226432,191.683282493288,7519.05
119,2008,"MIDDLESEX",31.654,8.50120598404053,269.1
121,2008,"MONTGOMERY",30.35136,4.04705957155143,122.83
125,2008,"NELSON",443.355,0.207809112500824,92.13
127,2008,"NEW KENT",225.571,9.16176371829938,2066.63
131,2008,"NORTHAMPTON",764.50679,4.51761404479922,3453.75
137,2008,"ORANGE",98.4,629.147573352573,61908.12
139,2008,"PAGE",39.59,5.34483097272663,211.6
143,2008,"PITTSYLVANIA",288.26865,46.1985613525427,13317.6
153,2008,"PRINCE WILLIAM",4.391,95.0700100528181,417.45
165,2008,"ROCKINGHAM",152.779031,8.0450354910328,1229.11
171,2008,"SHENANDOAH",3.5,11.8304519974572,41.41
175,2008,"SOUTHAMPTON",236.489,11.0434849336055,2611.66
177,2008,"SPOTSYLVANIA",48.09,55.778916572181,2682.41
181,2008,"SURRY",10.626,14.1589441033161,150.45
183,2008,"SUSSEX",55.9,11.4940687074363,642.52
193,2008,"WESTMORELAND",530.56,0.799417668435908,424.14
550,2008,"CHESAPEAKE CITY",1.77664,33.4573512502287,59.44
800,2008,"SUFFOLK CITY",176.5,0.739495119822749,130.52
1,2009,"ACCOMACK",2463.225437,0.433555704694594,1067.95
7,2009,"AMELIA",59.096,9.47046531782232,559.67
15,2009,"AUGUSTA",780.5369,3.50940304845818,2739.22
19,2009,"BEDFORD",0.0909,8.02410256108611,0.73
31,2009,"CAMPBELL",25.97,2.1076279298765,54.74
33,2009,"CAROLINE",551.597375,0.939539274710447,518.25
36,2009,"CHARLES CITY",137.192,7.88173475609148,1081.31
37,2009,"CHARLOTTE",16.8,16.5220574715091,277.57
41,2009,"CHESTERFIELD",43.2,2.1458914536244,92.7
43,2009,"CLARKE",41.7,2.81200919924463,117.26
47,2009,"CULPEPER",207.627668,17.9027531604714,3717.11
