"County","County_Code","Total.Irri.Area","Irr.Area.Under.TH","Facility_All_Withdrawl_mg","PPT","Irrigation","SM_F_Unreported","Facility_withdrawal_mg","All_Irrigation_mg","Large_Farm_unreported","C_Tot_area_lg"
"FAIRFAX",59,50,50,32000.095555,182.77,325,17.3,0,17.3,0,0
"FAUQUIER",61,394,207,1089.4393,258.57,249,54.89,0,104.47,49.58,0.0455096488624928
"FLOYD",63,192,133,34.472,216.51,291,41.21,21.1,59.5,-2.81,-0.0815154328150383
"FLUVANNA",65,144,61,326.771,284.91,223,14.49,0,34.19,19.7,0.0602868675616869
"FRANKLIN",67,893,103,450.932735,436.18,72,7.9,0,68.47,60.57,0.134321585679514
"FREDERICK",69,151,79,1624.9001,277.36,231,19.43,0,37.14,17.71,0.0108991315835355
"GILES",71,32,32,24019.4406,222.16,286,9.75,0,9.75,0,0
"GLOUCESTER",73,46,46,475.7657,286.32,222,10.87,0,10.87,0,0
"GOOCHLAND",75,32,32,801.5221,296.55,211,7.19,0,7.19,0,0
"GRAYSON",77,45,45,36.6599,251.37,257,12.32,0,12.32,0,0
"GREENE",79,49,38,228.98635,330.5,178,7.2,0,9.29,2.09,0.00912718159837912
"GREENSVILLE",81,246,9,743.817485,384.09,124,1.19,32.252,32.48,-0.962,-0.00129332802656555
"HALIFAX",83,2152,223,675.589,265.24,243,57.7,2.139,556.86,497.021,0.735685453730005
"HANOVER",85,3338,247,1177.758605,252.59,255,67.07,560.29,906.4,279.04,0.236924611559089
"HENRICO",87,7,7,9648.404868,290.28,218,1.62,100.69,1.62,-100.69,-0.0104359219350288
"HENRY",89,137,40,1209.6859802,246.69,261,11.12,0,38.08,26.96,0.0222867756105949
"HIGHLAND",91,20,9,2577.252,296.95,211,2.02,0,4.49,2.47,0.00095838513269172
"ISLE OF WIGHT",93,702,13,4499.247341,399.4,109,1.51,5.75,81.48,74.22,0.0164960924294293
"JAMES CITY",95,37,15,2230.915845,341.42,167,2.67,0,6.58,3.91,0.00175264343061762
"KING AND QUEEN",97,18,18,250.445,236.84,271,5.19,246.17,5.19,-246.17,-0.982930383916628
"KING GEORGE",99,350,34,636.7857,218.14,290,10.5,216.35,108.08,-118.77,-0.186514866775432
"KING WILLIAM",101,1125,16,7903.222704,236.94,271,4.62,352.326,324.65,-32.296,-0.00408643425721184
"LEE",105,61,61,800.624,327.51,180,11.69,0,11.69,0,0
"LOUDOUN",107,580,235,2337.318326,223.71,284,71.07,0.4321,175.4,103.8979,0.0444517543221453
"LOUISA",109,278,88,217.138472,304.24,204,19.12,0,60.39,41.27,0.19006304879957
"LUNENBURG",111,444,33,170.069,319.14,189,6.64,6.76,89.36,75.96,0.446642245206357
"MADISON",113,70,30,49.5564,332.64,175,5.59,0,13.04,7.45,0.150333761128734
"MATHEWS",115,17,17,7.8853,313.66,194,3.51,0,3.51,0,0
"MECKLENBURG",117,2760,66,585.58439,394.32,114,8.01,0,335.05,327.04,0.558484832561879
"MIDDLESEX",119,477,18,144.40603,285.59,222,4.26,88.8,112.76,19.7,0.13642089599721
"MONTGOMERY",121,349,37,10645.2492,217.7,290,11.43,65.645,107.77,30.695,0.00288344588494932
"NELSON",125,862,57,1032.9,284.05,224,13.6,424.98,205.61,-232.97,-0.22554942395198
"NORTHAMPTON",131,6335,47,1177.014682,319.6,188,9.41,881.646009,1268.23,377.17399,0.320449690023493
"NORTHUMBERLAND",133,38,2,135.1638,283.85,224,0.48,0,9.06,8.58,0.06347853493317
"NOTTOWAY",135,75,55,392.96,245.45,263,15.4,0,21,5.6,0.0142508143322476
"ORANGE",137,563,51,641.9746,312.69,195,10.59,11,116.91,95.32,0.148479394667639
"PAGE",139,1005,19,646.848,286.71,221,4.47,51.94,236.51,180.1,0.278427080241417
"PATRICK",141,108,38,251.0541,304.98,203,8.21,0,23.35,15.14,0.0603057269329599
"PITTSYLVANIA",143,3717,184,703.511485,256.64,251,49.18,27.140785,993.48,917.15922,1.30368762920765
"POWHATAN",145,99,20,40.7775,262.98,245,5.22,4,25.83,16.61,0.40733247501686
"PRINCE EDWARD",147,96,11,380.86968,232.14,276,3.23,0.05148,28.21,24.92852,0.0654515738821741
"PRINCE GEORGE",149,8,8,107.589905,282.06,226,1.93,0,1.93,0,0
"PRINCE WILLIAM",153,1006,69,24517.308691,219.82,288,21.16,47.42,308.52,239.94,0.00978655540965143
"PULASKI",155,14,14,1651.929,226.95,281,4.19,0,4.19,0,0
"RAPPAHANNOCK",157,121,95,13.24,286.53,221,22.36,0,28.48,6.12,0.462235649546828
"RICHMOND",159,126,21,100.346,244.79,263,5.88,0,35.29,29.41,0.293085922707432
"ROANOKE",161,96,53,4364.626,292.6,215,12.13,0,21.98,9.85,0.00225677984780368
"ROCKBRIDGE",163,137,59,818.7137,325.1,183,11.5,0,26.7,15.2,0.0185657086231732
"ROCKINGHAM",165,5645,350,9269.70398,331.01,177,65.97,578.196,1063.97,419.804,0.0452877460710455
"RUSSELL",167,12,12,233.732,334.45,174,2.22,0,2.22,0,0
"SCOTT",169,56,23,377.6281,357.26,151,3.7,0,9,5.3,0.0140349725033704
"SHENANDOAH",171,719,111,1984.4259,315.7,192,22.69,31.96,147,92.35,0.0465373889748163
"SMYTH",173,18,18,2090.0066,270.66,237,4.54,0,4.54,0,0
"SOUTHAMPTON",175,3246,28,1398.276026,408.28,100,2.98,159.7402,345.65,182.9298,0.130825242368848
"SPOTSYLVANIA",177,58,29,3808.4174,216.38,292,9.02,10.2,18.03,-1.19,-0.000312465750208998
"STAFFORD",179,25,25,3946.842,218.84,289,7.69,0,7.69,0,0
"SURRY",181,1238,65,78.119956,351.19,157,10.87,22.35,206.97,173.75,2.22414359782794
"SUSSEX",183,1371,25,456.542,311.6,196,5.22,71.71,286.15,209.22,0.458271090064003
"TAZEWELL",185,18,18,613.3172,302.98,205,3.93,0,3.93,0,0
"WARREN",187,12,12,3510.696,262.79,245,3.13,0,3.13,0,0
"WASHINGTON",191,224,89,3633.4089,306.03,202,19.14,0,48.18,29.04,0.00799249432124196
"WESTMORELAND",193,1642,2,757.3936,234.47,274,0.58,380.14,479.09,98.37,0.129879629297105
"WISE",195,12,12,2587.3307,408.33,100,1.28,0,1.28,0,0
"WYTHE",197,72,52,2699.777321,253.77,254,14.06,0,19.47,5.41,0.00200386897019941
"YORK",199,21,8,8251.782001,345.53,162,1.38,0,3.62,2.24,0.000271456516874603
"CHESAPEAKE CITY",550,282,68,2422.93334,339.65,168,12.16,0,50.45,38.29,0.0158031586622189
"SUFFOLK CITY",800,414,62,33496.6765933,418.81,89,5.88,133.01,39.24,-99.65,-0.00297492199628939
"VIRGINIA BEACH CITY",810,180,44,7247.615924,314.3,194,9.09,0,37.19,28.1,0.00387713701921603
