"","County","Total.Irri.Area","Irr.Area.above.TH","Irr.Area.Under.TH","Pct.under.TH.of.Irri.area.abv.TH","Pct.under.TH.of.total.Irr.area","AcreageUnderTh","County_Code","Facility_withdrawal_mg","Method1_Unreported","C_tot"
"38","HALIFAX",2617,2535,82,3.23,3.13,81.9121,83,772.2776,24.95,0.03
"39","HANOVER",2393,2115,278,13.14,11.62,278.0666,85,5914.3517,777.61,0.13
"40","HENRICO",49,0,49,Inf,100,49,87,677.181536,Inf,Inf
"41","HENRY",416,377,39,10.34,9.38,39.0208,89,1815.299008,187.9,0.1
"42","ISLE OF WIGHT",791,786,5,0.64,0.63,4.9833,93,16964.964678,107.56,0.01
"43","JAMES CITY",102,90,12,13.33,11.76,11.9952,95,5502.30478,733.31,0.13
"44","KING AND QUEEN",743,679,64,9.43,8.61,63.9723,97,261.51,24.64,0.09
"45","KING GEORGE",3,0,3,Inf,100,3,99,761.1532,Inf,Inf
"46","KING WILLIAM",2457,2442,15,0.61,0.61,14.9877,101,7514.2431,46.12,0.01
"47","LEE",1374,1170,204,17.44,14.85,204.039,105,597.42,104.19,0.17
"48","LOUDOUN",3666,3481,185,5.31,5.05,185.133,107,2154.691,114.6,0.05
"49","LOUISA",365,314,51,16.24,13.97,50.9905,109,199.934,32.47,0.16
"50","LUNENBURG",1484,1423,61,4.29,4.11,60.9924,111,231.424,9.92,0.04
"51","MADISON",333,261,72,27.59,21.62,71.9946,113,39.538,10.91,0.28
"52","MATHEWS",117,112,5,4.46,4.27,4.9959,115,1.113,0.05,0.04
"53","MECKLENBURG",4158,3922,236,6.02,5.68,236.1744,117,1132.005,68.17,0.06
"54","MIDDLESEX",651,635,16,2.52,2.46,16.0146,119,117.3,2.96,0.03
"55","MONTGOMERY",303,262,41,15.65,13.53,40.9959,121,8396.0889,1313.74,0.16
"56","NELSON",795,650,145,22.31,18.24,145.008,125,593.2255,132.34,0.22
"57","NEW KENT",458,443,15,3.39,3.28,15.0224,127,14967.40878,507.58,0.03
"58","NORTHAMPTON",9338,9294,44,0.47,0.47,43.8886,131,997.0889,4.71,0
"59","NORTHUMBERLAND",38,28,10,35.71,26.32,10.0016,133,73.9144,26.4,0.36
"60","NOTTOWAY",457,425,32,7.53,7,31.99,135,214.159,16.12,0.08
"61","ORANGE",1556,1503,53,3.53,3.41,53.0596,137,569.231,20.1,0.04
"62","PAGE",238,224,14,6.25,5.88,13.9944,139,876.3444,54.75,0.06
"63","PATRICK",325,191,134,70.16,41.23,133.9975,141,241.6111,169.5,0.7
"64","PITTSYLVANIA",5606,5395,211,3.91,3.76,210.7856,143,1800.3949,70.34,0.04
"65","POWHATAN",230,198,32,16.16,13.91,31.993,145,32.6476,5.28,0.16
"66","PRINCE EDWARD",526,480,46,9.58,8.75,46.025,147,408.714,39.19,0.1
"67","PRINCE WILLIAM",1173,1163,10,0.86,0.85,9.9705,153,21593.872,185.12,0.01
"68","PULASKI",320,317,3,0.95,0.94,3.008,155,1760.111,16.7,0.01
"69","RAPPAHANNOCK",335,325,10,3.08,2.99,10.0165,157,14.576,0.45,0.03
"70","ROANOKE",92,10,82,820,89.13,81.9996,161,7430.9603,60931.14,8.2
"71","ROCKBRIDGE",700,645,55,8.53,7.86,55.02,163,1333.348511,113.74,0.09
"72","ROCKINGHAM",4355,4181,174,4.16,4,174.2,165,8784.345484,366.01,0.04
"73","RUSSELL",251,133,118,88.72,47.01,117.9951,167,1644.2773,1458.72,0.89
"74","SCOTT",637,457,180,39.39,28.26,180.0162,169,380.623,149.94,0.39
"75","SHENANDOAH",1110,1074,36,3.35,3.24,35.964,171,1967.5901,65.88,0.03
"76","SMYTH",452,414,38,9.18,8.41,38.0132,173,2503.458,229.87,0.09
"77","SOUTHAMPTON",2385,2385,0,0,0,0,175,6068.35342,0,0
"78","SPOTSYLVANIA",346,306,40,13.07,11.56,39.9976,177,3729.491,487.48,0.13
"79","STAFFORD",186,164,22,13.41,11.83,22.0038,179,3516.87,471.87,0.13
"80","SURRY",1472,1442,30,2.08,2.04,30.0288,181,136.30141,2.84,0.02
"81","SUSSEX",1410,1394,16,1.15,1.13,15.933,183,397.3285,4.54,0.01
"82","TAZEWELL",245,216,29,13.43,11.84,29.008,185,1763.684,236.87,0.13
"83","WARREN",151,81,70,86.42,46.36,70.0036,187,3691.9461,3190.88,0.86
"84","WASHINGTON",836,681,155,22.76,18.54,154.9944,191,3081.793,701.4,0.23
"85","WESTMORELAND",1474,1352,122,9.02,8.28,122.0472,193,663.730732,59.92,0.09
"86","WISE",28,18,10,55.56,35.71,9.9988,195,2350.4953,1305.59,0.56
"87","WYTHE",1061,1039,22,2.12,2.07,21.9627,197,1596.5893,33.75,0.02
"88","YORK",41,0,41,Inf,100,41,199,31129.510681,Inf,Inf
"89","CHESAPEAKE CITY",314,125,189,151.2,60.19,188.9966,550,1681.9399,2542.98,1.51
"90","SUFFOLK CITY",1167,1058,109,10.3,9.34,108.9978,800,35591.817279,3666.75,0.1
"91","VIRGINIA BEACH CITY",431,396,35,8.84,8.12,34.9972,810,10522.4833922,929.94,0.09
