County,Total.Irri.Area,Facility_withdrawal_mg,SM_F_Unreported,All_Irrigation,Large_Farm_unreported,C_tot_lg
ALBEMARLE,1387,3908.210335,65.43,756.21,-3217.430335,-0.823249022
STAFFORD,186,3516.87,13.19,111.51,-3418.55,-0.972043323
SPOTSYLVANIA,346,3729.491,24.41,211.12,-3542.781,-0.949936868
WARREN,151,3691.9461,38.98,84.1,-3646.8261,-0.987778803
BATH,109,4118.789482,0,63.95,-4054.839482,-0.984473593
BEDFORD,676,4864.389855,88.21,375.04,-4577.559855,-0.941034743
HANOVER,2393,5914.3517,174.95,1506,-4583.3017,-0.774945748
SOUTHAMPTON,2385,6068.35342,0,1183.5,-4884.85342,-0.804971807
JAMES CITY,102,5502.30478,7.56,64.3,-5445.56478,-0.989687958
AMHERST,144,5863,21.77,87.1,-5797.67,-0.98885724
KING WILLIAM,2457,7514.2431,9.38,1535.81,-5987.8131,-0.796861776
ROCKINGHAM,4355,8784.345484,102.09,2555.25,-6331.185484,-0.720735028
ROANOKE,92,7430.9603,44.18,49.57,-7425.5703,-0.999274656
MONTGOMERY,303,8396.0889,24.97,184.56,-8236.4989,-0.98099234
VIRGINIA BEACH CITY,431,10522.48339,19.9,245.08,-10297.30339,-0.978600109
NEW KENT,458,14967.40878,9.5,290.19,-14686.71878,-0.981246587
ISLE OF WIGHT,791,16964.96468,2.75,434.63,-16533.08468,-0.974542829
PRINCE WILLIAM,1173,21593.872,6.08,713.23,-20886.722,-0.967252283
ALLEGHANY,191,21938.65572,6.34,110.03,-21834.96572,-0.995273639
GILES,193,24886.2384,15.21,104.81,-24796.6384,-0.996399617
YORK,41,31129.51068,25.45,25.45,-31129.51068,-1
FAIRFAX,101,31715.8939,62.06,62.06,-31715.8939,-1
CHESTERFIELD,571,32908.70612,22.25,363,-32567.95612,-0.989645597
SUFFOLK CITY,1167,35591.81728,57.92,620.1,-35029.63728,-0.984204796
