"Year","County_Code","name","PPT","Irrigation","parm_Tot_Area","All_Irrigation_mg","Small_Farm_Unreported","TOT_DEQ_Withdrawals","IRR_DEQ_withdrawals","Large_Farm_unreported","C_tot_lg"
2002,5,"ALLEGHANY",220.71,287,191,58.37,3.36,21938.65572,0,55.01,0.00250744624930921
2002,165,"ROCKINGHAM",211.37,297,5645,1785.31,110.69,8784.345484,276.896,1397.724,0.159115326525561
2002,171,"SHENANDOAH",237.71,270,1110,319.14,35.94,1967.5901,30.277,252.923,0.128544558137388
2002,145,"POWHATAN",177.67,330,230,80.82,11.24,32.6476,0.58,69,2.11347847927566
2002,175,"SOUTHAMPTON",296.08,212,3507,791.71,20.32,6068.35342,41,730.39,0.120360491462608
2002,139,"PAGE",231.87,276,1005,295.37,13.81,876.3444,34.476,247.084,0.281948512479797
2002,133,"NORTHUMBERLAND",215.27,293,62,19.34,3.12,73.9144,0,16.22,0.219443031398483
2002,75,"GOOCHLAND",187.49,321,112,38.28,10.94,695.2937,0,27.34,0.0393215126212132
2002,65,"FLUVANNA",225.19,283,264,79.56,18.38,264.928204,0,61.18,0.230930490133848
2002,95,"JAMES CITY",169.8,338,102,36.71,9.72,5502.30478,0,26.99,0.00490521719154932
2002,63,"FLOYD",204.98,303,779,251.35,63.24,59.2953,0,188.11,3.17242681966362
2002,149,"PRINCE GEORGE",228.06,280,8,2.39,2.39,326.456752,0,0,0
2002,77,"GRAYSON",287.24,221,619,145.67,18.12,67.504,0,127.55,1.88951765821285
2002,131,"NORTHAMPTON",204.19,304,9338,3022.88,15.54,997.0889,742.087,2265.253,2.27186663094936
2002,137,"ORANGE",237.63,270,1556,447.37,15.24,569.231,0.45,431.68,0.758356449314953
2002,79,"GREENE",279.71,228,154,37.39,11.41,201.205732,0,25.98,0.129121569956069
2002,195,"WISE",308.96,199,115,24.37,3.18,2350.4953,0,21.19,0.00901512119594538
2002,183,"SUSSEX",297.29,211,1645,369.61,5.62,397.3285,38.6,325.39,0.818944525751362
2002,87,"HENRICO",175.58,332,49,17.32,17.32,677.181536,0,0,0
2002,101,"KING WILLIAM",174.97,333,2690,953.87,6.03,7514.2431,143.51,804.33,0.107040721107359
2002,103,"LANCASTER",211.98,296,12,3.78,3.78,498.1982,0,0,0
2002,187,"WARREN",238.84,269,151,43.25,20.05,3691.9461,0,23.2,0.00628394872828723
2002,9,"AMHERST",194.36,314,176,58.85,12.04,5863,0,46.81,0.00798396725225993
2002,155,"PULASKI",212.68,295,320,100.52,8.8,1760.111,0,91.72,0.0521103498586169
2002,19,"BEDFORD",241.49,267,676,192.2,45.21,4864.389855,0,146.99,0.0302175615815234
2002,173,"SMYTH",315.77,192,452,92.41,13.49,2503.458,0,78.92,0.031524395456205
2003,67,"FRANKLIN",322.8,185,1126,221.82,47.67,388.448,0,174.15,0.448322555399951
2003,37,"CHARLOTTE",415.76,92,1454,142.44,19.79,113.567,0,122.65,1.07997921931547
2003,99,"KING GEORGE",346.12,162,672,115.93,5.87,796.321,0,110.06,0.138210595978255
2003,135,"NOTTOWAY",440.16,68,457,33.09,3.98,216.402,0,29.11,0.134518165266495
2003,25,"BRUNSWICK",424.95,83,2115,186.93,11.14,271.093,0,175.79,0.648449056227936
2003,161,"ROANOKE",442.56,65,96,6.64,5.68,6991.8365,0.4,0.56,0.0000800934060743554
2003,36,"CHARLES CITY",439.57,68,1435,103.91,1.52,192.29469,140,-37.61,-0.195585223908159
2003,550,"CHESAPEAKE CITY",422.84,85,314,28.42,17.11,4650.718044,0.983792,10.32621,0.00222034746082319
2003,11,"APPOMATTOX",465.04,43,508,23.26,3.71,81.33,0,19.55,0.240378704045248
2003,73,"GLOUCESTER",461.72,46,98,4.8,2.84,479.707,0,1.96,0.0040858273904696
2003,47,"CULPEPER",411.32,97,1266,130.77,17.25,599.078,5.302,108.218,0.180640918210984
2003,105,"LEE",368.35,140,1374,204.84,30.41,650.416,0,174.43,0.268182209539741
2003,193,"WESTMORELAND",383.56,124,1673,220.91,16.11,546.9156,223.695,-18.895,-0.0345482922776384
2003,143,"PITTSYLVANIA",499.2,9,5606,53.73,2.02,1773.663,0,51.71,0.0291543545758129
2003,117,"MECKLENBURG",424.11,84,4163,372.37,21.11,190.511,0,351.26,1.84377804956144
2003,121,"MONTGOMERY",441.4,67,384,27.4,2.93,7622.6086,10.4,14.07,0.00184582480071192
2003,89,"HENRY",527.6,-20,525,-11.18,-0.85,1669.303,0,-10.33,-0.00618821148706975
2003,93,"ISLE OF WIGHT",406.02,102,934,101.45,4.78,14104.7598,2,94.67,0.00671191862480352
2003,169,"SCOTT",448.2,60,637,40.7,11.5,384.929,0,29.2,0.0758581452683482
2003,167,"RUSSELL",506.87,1,251,0.27,0.13,1288.082,0,0.14,0.000108688732549636
2003,59,"FAIRFAX",398.5,110,101,11.83,11.83,29771.4871,54.1,-54.1,-0.00181717493043873
2003,31,"CAMPBELL",435.97,72,1328,101.82,9.97,1988.4549,0,91.85,0.0461916435721021
2003,157,"RAPPAHANNOCK",462.52,45,335,16.05,4.55,13.345,0,11.5,0.86174597227426
2003,23,"BOTETOURT",462.08,46,253,12.39,3.77,2193.3006,0,8.62,0.00393014983901431
2003,197,"WYTHE",419.88,88,1061,99.42,5.15,2576.606,0,94.27,0.0365868898853763
2003,43,"CLARKE",422.72,85,514,46.52,8.51,197.5757,1.5,36.51,0.18478993115044
2003,83,"HALIFAX",465.17,43,2617,119.83,10.21,760.9566,0.015,109.605,0.144035809663784
2003,800,"SUFFOLK CITY",344.61,163,1167,202.56,18.92,30355.4162,196.69,-13.05,-0.000429906805231022
2003,113,"MADISON",476.75,31,333,10.99,2.38,43.799,0,8.61,0.196579830589739
2003,163,"ROCKBRIDGE",427.69,80,700,59.63,5.03,1066.0726,0,54.6,0.0512160241244358
2003,810,"VIRGINIA BEACH CITY",426.34,82,431,37.63,5.68,3156.889,4,27.95,0.00885365307427661
2003,15,"AUGUSTA",447,61,3813,247.68,12.93,4056.825,141.597,93.153,0.0229620454419404
2003,45,"CRAIG",427.08,81,130,11.21,2.59,757.067,0,8.62,0.0113860464133293
2003,181,"SURRY",413.95,94,1472,147.34,6.51,98.0439,8.661,132.169,1.34805938972236
2003,159,"RICHMOND",433,75,243,19.41,1.68,117.9943,0,17.73,0.150261495682419
2003,153,"PRINCE WILLIAM",375.98,132,1173,164.88,12.51,20291.813,0,152.37,0.00750893968912487
2003,199,"YORK",456.99,51,41,2.23,2.23,31027.3086,0,0,0
2003,7,"AMELIA",404.26,104,886,98.12,12.07,0,0,86.05,Inf
2003,119,"MIDDLESEX",458.62,49,651,33.97,1.36,70.5389,12,20.61,0.292179208918767
2003,109,"LOUISA",403.25,105,365,40.81,10.06,153.9612,0,30.75,0.199725645162547
2003,111,"LUNENBURG",415.3,93,1484,146.96,6.04,221.491,0,140.92,0.636233526418681
2003,115,"MATHEWS",450.97,57,117,7.1,1.15,5.1598,0,5.95,1.15314547075468
2003,191,"WASHINGTON",508.84,-1,836,-0.89,-0.17,3165.058,0,-0.72,-0.000227483982915953
2003,29,"BUCKINGHAM",361.27,147,469,73.41,4.07,797.7879,0,69.34,0.0869153317567238
2003,33,"CAROLINE",378.49,130,3411,472.19,10.94,1283.25574,129.274,331.976,0.258698238902871
2003,53,"DINWIDDIE",437.53,70,1885,140.51,8.57,17.522,0.217,131.723,7.51757790206598
2003,141,"PATRICK",610.09,-102,432,-46.92,-14.55,241.795,0,-32.37,-0.133873736016047
2003,177,"SPOTSYLVANIA",317.17,191,346,70.37,16.07,3754.002,1.2,53.1,0.0141449045578559
2003,35,"CARROLL",557.96,-50,1086,-57.82,-3.19,175.4273,0,-54.63,-0.311411051757623
2003,57,"ESSEX",403.58,104,246,27.24,4.32,174.6372,24.42,-1.5,-0.00858923528320427
2003,41,"CHESTERFIELD",414.74,93,571,56.55,4.56,34078.7701,15.4,36.59,0.00107368898269014
2003,125,"NELSON",510.25,-2,1016,-2.16,-0.31,715.97,125.38,-127.23,-0.177702976381692
2003,147,"PRINCE EDWARD",386.74,121,526,67.77,7.73,361.3264,0.744,59.296,0.164106469939645
2003,97,"KING AND QUEEN",457.34,51,1221,66.31,3.48,65.976,62.029,0.801,0.0121407784648963
2003,179,"STAFFORD",318.74,189,221,44.48,5.03,3487.074,0,39.45,0.0113132098716574
2003,107,"LOUDOUN",422.64,85,3666,331.82,21.9,1918.676,0.97,308.95,0.161022496763393
2003,71,"GILES",444.68,63,193,12.95,2.15,24316.547,0,10.8,0.000444142007498022
2003,1,"ACCOMACK",384.95,123,9716,1272.58,7.6,4921.331657,3104.2237,-1839.2437,-0.373728866125878
2003,127,"NEW KENT",461.13,47,495,24.77,0.9,7660.00172,5.62,18.25,0.00238250599243991
2003,185,"TAZEWELL",434.16,74,330,26,2.29,1680.703,0,23.71,0.0141071920499934
2003,21,"BLAND",386.02,122,801,104.06,2.73,62.937,0,101.33,1.61002272113383
2003,91,"HIGHLAND",376.33,132,20,2.81,1.27,2916.7336,0,1.54,0.000527987883432344
2003,61,"FAUQUIER",426.46,82,920,80.33,18.95,983.8588,0,61.38,0.0623870010615344
2003,69,"FREDERICK",379.59,128,520,70.88,21.67,1025.3919,6,43.21,0.0421399856971759
2003,17,"BATH",397.41,111,109,12.88,2.25,4462.6829,0,10.63,0.00238197520150939
2003,3,"ALBEMARLE",471.21,37,1456,57.37,6.62,3636.6436,0,50.75,0.0139551755910312
2003,51,"DICKENSON",435.47,73,12,0.93,0.93,1540.376,0,0,0
2003,49,"CUMBERLAND",362.77,145,222,34.28,4.17,2.2051,0,30.11,13.6547095369825
2003,85,"HANOVER",471.1,37,3569,140.62,10.95,6188.66967,75.178,54.492,0.00880512337960995
2003,81,"GREENSVILLE",347.17,161,734,125.84,1.54,34.0449,0,124.3,3.65106080499576
2003,5,"ALLEGHANY",368.17,140,191,28.47,1.64,15721.783,0,26.83,0.00170654944162504
2003,165,"ROCKINGHAM",408.59,99,5645,595.1,36.9,7790.53,32.521,525.679,0.0674766671843892
2003,171,"SHENANDOAH",416.07,92,1110,108.74,12.25,1691.246,0,96.49,0.057052610915266
2003,145,"POWHATAN",402.54,105,230,25.72,3.58,38.4136,4.81,17.33,0.451142303767416
2003,175,"SOUTHAMPTON",371.6,136,3507,507.89,13.03,2264.03714,50.95,443.91,0.196070105104371
2003,139,"PAGE",394.39,114,1005,122,5.71,773.7486,0,116.29,0.150294294555105
2003,133,"NORTHUMBERLAND",483.68,24,62,1.58,0.26,66.5523,0,1.32,0.0198340252703513
2003,75,"GOOCHLAND",365.12,143,112,17.05,4.87,400.825,0,12.18,0.0303873261398366
2003,65,"FLUVANNA",342.75,165,264,46.39,10.72,279.15,0,35.67,0.127780763030629
2003,95,"JAMES CITY",427.09,81,102,8.8,2.33,1633.328959,0,6.47,0.00396123509863025
2003,63,"FLOYD",469.37,39,779,32.35,8.14,56.847,10.5,13.71,0.241173676711172
2003,149,"PRINCE GEORGE",433.07,75,8,0.64,0.64,108.887226,0,0,0
2003,77,"GRAYSON",468.35,40,619,26.37,3.28,64.691,0,23.09,0.356927547881467
2003,131,"NORTHAMPTON",422.18,86,9338,855.16,4.4,738.04504,457.66466,393.09534,0.532617006680243
2003,137,"ORANGE",367.23,141,1556,233.63,7.96,536.752,0,225.67,0.420436253614332
2003,79,"GREENE",437.56,70,154,11.48,3.5,183.9189,0,7.98,0.0433886892537961
2003,195,"WISE",444.17,64,115,7.84,1.02,2246.494,0,6.82,0.00303584162699745
2003,183,"SUSSEX",403.11,105,1645,183.93,2.8,351.8869,18.9,162.23,0.461028813519344
2003,87,"HENRICO",467.83,40,49,2.09,2.09,112.356,0,0,0
2003,101,"KING WILLIAM",455.78,52,2690,148.95,0.94,7205.827952,24.1,123.91,0.0171958032894205
2003,103,"LANCASTER",447.71,60,12,0.77,0.77,295.2157,0,0,0
2003,187,"WARREN",399.74,108,151,17.37,8.05,3966.652,0,9.32,0.00234958851948696
2003,9,"AMHERST",488.43,20,176,3.75,0.77,6576.832,0,2.98,0.000453105689791073
2003,155,"PULASKI",399.44,109,320,37.14,3.25,1682.551,0,33.89,0.020142034327637
2003,19,"BEDFORD",505.41,3,676,2.16,0.51,4029.9904,0,1.65,0.000409430255714753
2003,173,"SMYTH",487.53,20,452,9.63,1.41,2567.973,0,8.22,0.0032009682344791
2004,67,"FRANKLIN",440.7,67,1126,80.34,17.27,437.6641,0,63.07,0.144105947917593
2004,37,"CHARLOTTE",455.8,52,1454,80.51,11.19,148.0165,18.2,51.12,0.34536690166299
2004,99,"KING GEORGE",382.62,125,672,89.45,4.53,902.3829,7.4,77.52,0.0859058831899408
2004,135,"NOTTOWAY",453.91,54,457,26.28,3.16,226.1633,0,23.12,0.102227019149438
2004,25,"BRUNSWICK",476.98,31,2115,69.82,4.16,1013.78,0,65.66,0.0647675037976681
2004,161,"ROANOKE",371.41,137,96,14.01,11.96,7368.0489,5.25,-3.2,-0.000434307649613998
2004,36,"CHARLES CITY",549.93,-42,1435,-64.18,-0.94,51.6081,13.79,-77.03,-1.49259515463658
2004,550,"CHESAPEAKE CITY",546.15,-38,314,-12.71,-7.65,4932.15236,0.98581,-6.04581,-0.00122579546589676
2004,11,"APPOMATTOX",364.96,143,508,77.36,12.33,86.59,0,65.03,0.751010509296686
2004,73,"GLOUCESTER",536.93,-29,98,-3.03,-1.79,485.985,0,-1.24,-0.00255151907980699
2004,47,"CULPEPER",325.13,183,1266,246.71,32.54,687.4135,26.4275,187.7425,0.27311436275255
2004,105,"LEE",283.01,225,1374,329.2,48.88,635.993,0,280.32,0.440759568108454
2004,193,"WESTMORELAND",493.34,15,1673,26.72,1.95,472.08045,161.042,-136.272,-0.288662663323592
2004,143,"PITTSYLVANIA",405.29,103,5606,614.87,23.14,1493.7455,5.618,586.112,0.392377416367112
2004,117,"MECKLENBURG",449.69,58,4163,257.12,14.58,609.9384,0.567,241.973,0.39671711110499
2004,121,"MONTGOMERY",286.95,221,384,90.37,9.65,8037.1723,10,70.72,0.0087991145841181
2004,89,"HENRY",427.37,81,525,45.28,3.45,1081.018,0,41.83,0.0386950078537083
2004,93,"ISLE OF WIGHT",530.98,-23,934,-22.88,-1.08,14822.334604,3,-24.8,-0.00167315073249712
2004,169,"SCOTT",320.1,188,637,127.52,36.03,388.2952,0,91.49,0.23561970377177
2004,167,"RUSSELL",436.91,71,251,18.98,8.92,1401.1267,0,10.06,0.00717993597581147
2004,59,"FAIRFAX",340.51,167,101,17.96,17.96,31179.9948,17.4,-17.4,-0.000558050125139854
2004,31,"CAMPBELL",375.88,132,1328,186.67,18.27,2044.8746,5.34,163.06,0.0797408310514493
2004,157,"RAPPAHANNOCK",286.05,222,335,79.19,22.46,14.242,0,56.73,3.98328886392361
2004,23,"BOTETOURT",282.54,225,253,60.62,18.45,997.5791,0,42.17,0.0422723371008875
