"","County","County_Code","Total.Irri.Area","Irr.Area.Under.TH","Facility_withdrawal_mg","PPT","Irrigation","Vol_Unreported","C_tot","Method1_Unreported"
"67","PULASKI",155,14,14,1651.929,226.95,281,4.19,0.00253642862374836,4.19
"68","RAPPAHANNOCK",157,121,95,13.24,286.53,221,22.36,1.68882175226586,22.36
"69","RICHMOND",159,126,21,100.346,244.79,263,5.88,0.05859725350288,5.88
"70","ROANOKE",161,96,53,4364.626,292.6,215,12.13,0.00277916137602626,12.13
"71","ROCKBRIDGE",163,137,59,818.7137,325.1,183,11.5,0.0140464242872692,11.5
"72","ROCKINGHAM",165,5645,350,9269.70398,331.01,177,65.97,0.00711673211381233,65.97
"73","RUSSELL",167,12,12,233.732,334.45,174,2.22,0.00949805760443585,2.22
"74","SCOTT",169,56,23,377.6281,357.26,151,3.7,0.00979799967216423,3.7
"75","SHENANDOAH",171,719,111,1984.4259,315.7,192,22.69,0.0114340374211,22.69
"76","SMYTH",173,18,18,2090.0066,270.66,237,4.54,0.00217224194411635,4.54
"77","SOUTHAMPTON",175,3246,28,1398.276026,408.28,100,2.98,0.00213119580439692,2.98
"78","SPOTSYLVANIA",177,58,29,3808.4174,216.38,292,9.02,0.00236843787133207,9.02
"79","STAFFORD",179,25,25,3946.842,218.84,289,7.69,0.00194839317104662,7.69
"80","SURRY",181,1238,65,78.119956,351.19,157,10.87,0.139144983645408,10.87
"81","SUSSEX",183,1371,25,456.542,311.6,196,5.22,0.0114337782723167,5.22
"82","TAZEWELL",185,18,18,613.3172,302.98,205,3.93,0.0064077772480537,3.93
"83","WARREN",187,12,12,3510.696,262.79,245,3.13,0.000891561103553255,3.13
"84","WASHINGTON",191,224,89,3633.4089,306.03,202,19.14,0.00526778034809129,19.14
"85","WESTMORELAND",193,1642,2,757.3936,234.47,274,0.58,0.000765784131262794,0.58
"86","WISE",195,12,12,2587.3307,408.33,100,1.28,0.000494718359736542,1.28
"87","WYTHE",197,72,52,2699.777321,253.77,254,14.06,0.00520783691700624,14.06
"88","YORK",199,21,8,8251.782001,345.53,162,1.38,0.000167236604145961,1.38
"89","CHESAPEAKE CITY",550,282,68,2422.93334,339.65,168,12.16,0.00501871008964696,12.16
"90","SUFFOLK CITY",800,414,62,33496.6765933,418.81,89,5.88,0.000175539802691235,5.88
"91","VIRGINIA BEACH CITY",810,180,44,7247.615924,314.3,194,9.09,0.00125420553397415,9.09
