"Year","County_Code","name","PPT","Irrigation","parm_UnderTh","Unreported_Irrigation_based"
2003,199,"YORK",456.99,51,41,2.23
2003,7,"AMELIA",404.26,104,109,12.07
2003,119,"MIDDLESEX",458.62,49,26,1.36
2003,109,"LOUISA",403.25,105,90,10.06
2003,111,"LUNENBURG",415.3,93,61,6.04
2003,115,"MATHEWS",450.97,57,19,1.15
2003,191,"WASHINGTON",508.84,-1,155,-0.17
2003,29,"BUCKINGHAM",361.27,147,26,4.07
2003,33,"CAROLINE",378.49,130,79,10.94
2003,53,"DINWIDDIE",437.53,70,115,8.57
2003,141,"PATRICK",610.09,-102,134,-14.55
2003,177,"SPOTSYLVANIA",317.17,191,79,16.07
2003,35,"CARROLL",557.96,-50,60,-3.19
2003,57,"ESSEX",403.58,104,39,4.32
2003,41,"CHESTERFIELD",414.74,93,46,4.56
2003,125,"NELSON",510.25,-2,145,-0.31
2003,147,"PRINCE EDWARD",386.74,121,60,7.73
2003,97,"KING AND QUEEN",457.34,51,64,3.48
2003,179,"STAFFORD",318.74,189,25,5.03
2003,107,"LOUDOUN",422.64,85,242,21.9
2003,71,"GILES",444.68,63,32,2.15
2003,1,"ACCOMACK",384.95,123,58,7.6
2003,127,"NEW KENT",461.13,47,18,0.9
2003,185,"TAZEWELL",434.16,74,29,2.29
2003,21,"BLAND",386.02,122,21,2.73
2003,91,"HIGHLAND",376.33,132,9,1.27
2003,61,"FAUQUIER",426.46,82,217,18.95
2003,69,"FREDERICK",379.59,128,159,21.67
2003,17,"BATH",397.41,111,19,2.25
2003,3,"ALBEMARLE",471.21,37,168,6.62
2003,51,"DICKENSON",435.47,73,12,0.93
2003,49,"CUMBERLAND",362.77,145,27,4.17
2003,85,"HANOVER",471.1,37,278,10.95
2003,81,"GREENSVILLE",347.17,161,9,1.54
2003,5,"ALLEGHANY",368.17,140,11,1.64
2003,165,"ROCKINGHAM",408.59,99,350,36.9
2003,171,"SHENANDOAH",416.07,92,125,12.25
2003,145,"POWHATAN",402.54,105,32,3.58
2003,175,"SOUTHAMPTON",371.6,136,90,13.03
2003,139,"PAGE",394.39,114,47,5.71
