"Year","County_Code","name","PPT","Irrigation","Median_UnderTh","Unreported_Irrigation_based"
2004,115,"MATHEWS",485.86,276,13.5,3.97
2004,191,"WASHINGTON",409.81,352,106,39.73
2004,29,"BUCKINGHAM",364.93,397,17.5,7.4
2004,33,"CAROLINE",463.88,298,25,7.93
2004,53,"DINWIDDIE",476.14,286,40,12.18
2004,141,"PATRICK",439.44,323,57.5,19.78
2004,177,"SPOTSYLVANIA",389.07,373,34.5,13.7
2004,35,"CARROLL",364.86,397,25,10.57
2004,57,"ESSEX",527.8,234,21,5.23
2004,41,"CHESTERFIELD",495.65,266,31.5,8.92
2004,125,"NELSON",391.27,371,81.5,32.2
2004,147,"PRINCE EDWARD",405.43,357,30,11.4
2004,97,"KING AND QUEEN",534.11,228,27.5,6.68
2004,179,"STAFFORD",348.04,414,16.5,7.27
2004,107,"LOUDOUN",268.54,493,210,110.25
2004,71,"GILES",310.02,452,27.5,13.24
2004,1,"ACCOMACK",500.37,262,51.5,14.37
2004,127,"NEW KENT",517.95,244,15,3.9
2004,185,"TAZEWELL",414.11,348,29,10.75
2004,21,"BLAND",397.7,364,10,3.88
2004,91,"HIGHLAND",253.17,509,9,4.88
2004,61,"FAUQUIER",314.21,448,204.5,97.56
2004,69,"FREDERICK",263.26,499,90,47.82
2004,17,"BATH",262.68,499,7,3.72
2004,3,"ALBEMARLE",356.16,406,116.5,50.37
2004,51,"DICKENSON",367.34,395,12,5.05
2004,49,"CUMBERLAND",430.92,331,23,8.11
2004,85,"HANOVER",473.58,288,213,65.32
2004,81,"GREENSVILLE",444.98,317,5,1.69
2004,5,"ALLEGHANY",273.69,488,9.5,4.94
2004,165,"ROCKINGHAM",230.42,532,261.5,148.14
2004,171,"SHENANDOAH",232.62,529,105,59.15
2004,145,"POWHATAN",495.38,267,18,5.12
2004,175,"SOUTHAMPTON",505.46,257,21,5.75
2004,139,"PAGE",253.05,509,19.5,10.57
2004,133,"NORTHUMBERLAND",501,261,2,0.56
2004,75,"GOOCHLAND",467.25,295,21.5,6.75
2004,65,"FLUVANNA",432.15,330,27,9.49
2004,95,"JAMES CITY",549.13,213,15.5,3.52
2004,63,"FLOYD",311.65,450,127.5,61.1
2004,149,"PRINCE GEORGE",503.71,258,7,1.92
2004,77,"GRAYSON",352.34,410,41,17.9
2004,131,"NORTHAMPTON",467.76,294,45.5,14.24
2004,137,"ORANGE",361.26,401,45,19.22
2004,79,"GREENE",325.08,437,37,17.22
2004,195,"WISE",358.04,404,11,4.73
2004,183,"SUSSEX",461.77,300,15.5,4.95
2004,87,"HENRICO",502.69,259,26.5,7.31
2004,101,"KING WILLIAM",505.29,257,15.5,4.24
2004,103,"LANCASTER",468.67,293,12,3.74
2004,187,"WARREN",238.74,523,35,19.49
2004,9,"AMHERST",360.35,402,27,11.56
2004,155,"PULASKI",299.03,463,18.5,9.12
2004,19,"BEDFORD",350.38,412,52.5,23.03
2004,173,"SMYTH",374.89,387,33,13.6
2005,67,"FRANKLIN",236.33,526,123.5,69.17
2005,37,"CHARLOTTE",248.02,514,115,62.94
2005,99,"KING GEORGE",234.63,527,21,11.78
2005,135,"NOTTOWAY",230.13,532,38,21.53
2005,25,"BRUNSWICK",198.13,564,33,19.82
2005,161,"ROANOKE",380.56,381,62,25.15
2005,36,"CHARLES CITY",262.4,500,13.5,7.19
2005,550,"CHESAPEAKE CITY",380.74,381,62.5,25.36
2005,11,"APPOMATTOX",274.21,488,33.5,17.41
2005,73,"GLOUCESTER",298.43,464,48.5,23.96
2005,47,"CULPEPER",250.96,511,89,48.43
2005,105,"LEE",313.06,449,52,24.86
2005,193,"WESTMORELAND",242.88,519,58,32.05
2005,143,"PITTSYLVANIA",296.4,466,131,65.01
2005,117,"MECKLENBURG",204.66,557,83.5,49.53
2005,121,"MONTGOMERY",276.9,485,37.5,19.37
2005,89,"HENRY",397.72,364,26.5,10.27
2005,93,"ISLE OF WIGHT",264.26,498,25,13.26
2005,169,"SCOTT",371.81,390,53.5,22.22
2005,167,"RUSSELL",343.64,418,28,12.46
2005,59,"FAIRFAX",213.16,549,55,32.15
2005,31,"CAMPBELL",258.01,504,102.5,55.01
2005,157,"RAPPAHANNOCK",257.6,504,58.5,31.4
2005,23,"BOTETOURT",327.68,434,25,11.55
2005,197,"WYTHE",312.36,450,37,17.73
2005,43,"CLARKE",251.84,510,47,25.52
2005,83,"HALIFAX",245.36,517,102.5,56.43
2005,800,"SUFFOLK CITY",290.35,472,65,32.67
2005,113,"MADISON",276,486,53,27.43
2005,163,"ROCKBRIDGE",292.92,469,50.5,25.22
2005,810,"VIRGINIA BEACH CITY",370.72,391,47.5,19.78
2005,15,"AUGUSTA",260.61,501,189.5,101.1
2005,45,"CRAIG",327.79,434,14.5,6.7
2005,181,"SURRY",295.9,466,26,12.9
2005,159,"RICHMOND",290.42,472,16,8.04
2005,153,"PRINCE WILLIAM",222.22,540,51.5,29.61
2005,199,"YORK",285.41,477,14,7.11
2005,7,"AMELIA",239.64,522,41.5,23.07
2005,119,"MIDDLESEX",314.86,447,17,8.09
2005,109,"LOUISA",230.81,531,71,40.15
2005,111,"LUNENBURG",214.66,547,34,19.8
2005,115,"MATHEWS",349.76,412,13.5,5.92
2005,191,"WASHINGTON",329.21,433,106,48.88
2005,29,"BUCKINGHAM",282.75,479,17.5,8.93
2005,33,"CAROLINE",259.58,502,25,13.36
2005,53,"DINWIDDIE",221.23,541,40,23.04
2005,141,"PATRICK",409.75,352,57.5,21.55
2005,177,"SPOTSYLVANIA",236.49,526,34.5,19.32
2005,35,"CARROLL",353.31,409,25,10.89
2005,57,"ESSEX",247.17,515,21,11.52
2005,41,"CHESTERFIELD",219.61,542,31.5,18.18
2005,125,"NELSON",302.77,459,81.5,39.83
2005,147,"PRINCE EDWARD",214.15,548,30,17.51
2005,97,"KING AND QUEEN",269.99,492,27.5,14.41
2005,179,"STAFFORD",235.5,526,16.5,9.24
2005,107,"LOUDOUN",272.51,489,210,109.35
2005,71,"GILES",315.84,446,27.5,13.06
2005,1,"ACCOMACK",359.29,403,51.5,22.1
2005,127,"NEW KENT",249.65,512,15,8.18
2005,185,"TAZEWELL",301.04,461,29,14.24
2005,21,"BLAND",322.57,439,10,4.67
2005,91,"HIGHLAND",304.23,458,9,4.39
2005,61,"FAUQUIER",252.25,510,204.5,111.06
2005,69,"FREDERICK",204.79,557,90,53.38
2005,17,"BATH",310.66,451,7,3.36
2005,3,"ALBEMARLE",263.9,498,116.5,61.78
2005,51,"DICKENSON",332.97,429,12,5.48
2005,49,"CUMBERLAND",268.01,494,23,12.1
2005,85,"HANOVER",210.04,552,213,125.2
2005,81,"GREENSVILLE",193.27,569,5,3.03
2005,5,"ALLEGHANY",311.65,450,9.5,4.55
2005,165,"ROCKINGHAM",251.42,511,261.5,142.29
2005,171,"SHENANDOAH",243.66,518,105,57.92
2005,145,"POWHATAN",220.08,542,18,10.39
2005,175,"SOUTHAMPTON",228.66,533,21,11.92
2005,139,"PAGE",254.71,507,19.5,10.53
2005,133,"NORTHUMBERLAND",355.16,407,2,0.87
2005,75,"GOOCHLAND",223.2,539,21.5,12.34
2005,65,"FLUVANNA",248.66,513,27,14.75
2005,95,"JAMES CITY",311.96,450,15.5,7.43
2005,63,"FLOYD",305.03,457,127.5,62.05
2005,149,"PRINCE GEORGE",220.78,541,7,4.03
2005,77,"GRAYSON",342.38,420,41,18.34
