"Year","County_Code","name","PPT","Irrigation","Max_Tot_Area","All_Irrigation","Small_Farm_Unreported","TOT_DEQ_Withdrawals","IRR_DEQ_withdrawals","Large_Farm_unreported","C_tot_lg"
2002,153,"PRINCE WILLIAM",191.17,571,1173,713.23,54.12,21593.872,3.4,655.71,0.0303655592660733
2002,199,"YORK",179.13,583,41,25.45,25.45,31129.510681,0,0,0
2002,7,"AMELIA",183.52,578,886,545.32,67.09,42.093,42.093,436.137,10.3612714703157
2002,119,"MIDDLESEX",217.69,544,651,377.11,15.06,117.3,13.4,348.65,2.97229326513214
2002,109,"LOUISA",266.05,496,365,192.78,47.54,199.934,0,145.24,0.726439725109286
2002,111,"LUNENBURG",278.51,483,1484,763.26,31.37,231.424,10,721.89,3.11933939435841
2002,115,"MATHEWS",209.99,552,117,68.77,11.17,1.113,0,57.6,51.7520215633423
2002,191,"WASHINGTON",372.99,389,836,346.3,64.21,3081.793,0,282.09,0.0915343762543429
2002,29,"BUCKINGHAM",182.8,579,469,289.16,16.03,459.12,0,273.13,0.594898937097055
2002,33,"CAROLINE",203.9,558,3411,2026.79,46.94,2657.6773,960.526,1019.324,0.383539416166139
2002,53,"DINWIDDIE",257.98,504,1885,1011.66,61.72,102.639,14.055,935.885,9.11822016972106
2002,141,"PATRICK",230.32,532,432,244.73,75.91,241.6111,0,168.82,0.698726176073864
2002,177,"SPOTSYLVANIA",188.63,573,346,211.12,48.2,3729.491,60.56,102.36,0.0274461045756646
2002,35,"CARROLL",281.67,480,1086,555.09,30.67,168.574,0,524.42,3.11091864700369
2002,57,"ESSEX",205.9,556,246,145.65,23.09,295.8453,140.34,-17.78,-0.060098977404745
2002,41,"CHESTERFIELD",164.69,597,571,363,29.24,32908.706117,55,278.76,0.00847070677920084
2002,125,"NELSON",200.79,561,1016,606.95,86.62,593.2255,192.13,328.2,0.553246615325875
2002,147,"PRINCE EDWARD",192.82,569,526,318.71,36.35,408.714,38.6,243.76,0.596407267673728
2002,97,"KING AND QUEEN",184.5,578,1221,751.51,39.39,261.51,256.91,455.21,1.74069825245689
2002,179,"STAFFORD",198.83,563,221,132.49,14.99,3516.87,0,117.5,0.0334103904892703
2002,107,"LOUDOUN",209.01,553,3666,2158.79,142.51,2154.691,36.6,1979.68,0.918776752675906
2002,71,"GILES",252.49,510,193,104.81,17.38,24886.2384,0,87.43,0.00351318662928183
2002,1,"ACCOMACK",215.86,546,9716,5649.03,33.72,5389.55086,3444.534,2170.776,0.402774935498057
2002,127,"NEW KENT",167.24,595,495,313.63,11.4,14967.40878,11.89,290.34,0.0193981472857187
2002,185,"TAZEWELL",294.61,467,330,164.11,14.42,1763.684,0,149.69,0.0848734807369121
2002,21,"BLAND",266.76,495,801,422.21,11.07,72.718,0,411.14,5.65389587172364
2002,91,"HIGHLAND",248.84,513,20,10.93,4.92,32.1618,0,6.01,0.18686765044245
2002,61,"FAUQUIER",206.7,555,920,543.72,128.25,917.868,0,415.47,0.452646785812339
2002,69,"FREDERICK",261.41,501,520,277.42,84.83,672.497,9,183.59,0.272997500360596
2002,17,"BATH",211.17,551,109,63.95,11.15,4118.789482,0,52.8,0.0128193004839765
2002,3,"ALBEMARLE",249.55,512,1456,793.83,91.6,3908.210335,0,702.23,0.179680707998537
2002,51,"DICKENSON",303.83,458,12,5.85,5.85,1571.946,0,0,0
2002,49,"CUMBERLAND",174.03,588,222,139,16.91,2.622,0,122.09,46.5636918382914
2002,85,"HANOVER",170.63,591,3569,2246.09,174.95,5914.3517,236.0457,1835.0943,0.310278183152348
2002,81,"GREENSVILLE",268.68,493,734,385.33,4.72,647.5772,50.8297,329.7803,0.509252487579859
2002,5,"ALLEGHANY",220.71,541,191,110.03,6.34,21938.65572,0,103.69,0.00472636069061756
2002,165,"ROCKINGHAM",211.37,551,5645,3312.14,205.36,8784.345484,276.896,2829.884,0.322150808521183
2002,171,"SHENANDOAH",237.71,524,1110,619.37,69.75,1967.5901,30.277,519.343,0.263948776729462
2002,145,"POWHATAN",177.67,584,230,143.03,19.9,32.6476,0.58,122.55,3.7537215599309
2002,175,"SOUTHAMPTON",296.08,466,3507,1740.26,44.66,6068.35342,41,1654.6,0.272660454242298
2002,139,"PAGE",231.87,530,1005,567.2,26.53,876.3444,34.476,506.194,0.577619940288316
2002,133,"NORTHUMBERLAND",215.27,547,62,36.11,5.82,73.9144,0,30.29,0.409798361347721
2002,75,"GOOCHLAND",187.49,575,112,68.58,19.59,695.2937,0,48.99,0.0704594331862923
2002,65,"FLUVANNA",225.19,537,264,150.96,34.88,264.928204,0,116.08,0.438156444830615
2002,95,"JAMES CITY",169.8,592,102,64.3,17.02,5502.30478,0,47.28,0.00859276283128758
2002,63,"FLOYD",204.98,557,779,462.05,116.25,59.2953,0,345.8,5.83182815501397
2002,149,"PRINCE GEORGE",228.06,534,8,4.55,4.55,326.456752,0,0,0
2002,77,"GRAYSON",287.24,475,619,313.1,38.95,67.504,0,274.15,4.06124081535909
2002,131,"NORTHAMPTON",204.19,558,9338,5548.58,28.52,997.0889,742.087,4777.973,4.79192276636517
2002,137,"ORANGE",237.63,524,1556,868.23,29.57,569.231,0.45,838.21,1.47253048410926
2002,79,"GREENE",279.71,482,154,79.04,24.12,201.205732,0,54.92,0.272954450422913
2002,195,"WISE",308.96,453,115,55.47,7.24,2350.4953,0,48.23,0.0205190795318757
2002,183,"SUSSEX",297.29,465,1645,814.54,12.38,397.3285,38.6,763.56,1.92173478620336
2002,87,"HENRICO",175.58,586,49,30.58,30.58,677.181536,0,0,0
2002,101,"KING WILLIAM",174.97,587,2690,1681.45,10.63,7514.2431,143.51,1527.31,0.203255335191378
2002,103,"LANCASTER",211.98,550,12,7.03,7.03,498.1982,0,0,0
2002,187,"WARREN",238.84,523,151,84.1,38.98,3691.9461,0,45.12,0.0122211968370828
2002,9,"AMHERST",194.36,568,176,106.45,21.77,5863,0,84.68,0.014443117857752
2002,155,"PULASKI",212.68,549,320,187.08,16.37,1760.111,0,170.71,0.0969882013123036
2002,19,"BEDFORD",241.49,521,676,375.04,88.21,4864.389855,0,286.83,0.0589652574217861
2002,173,"SMYTH",315.77,446,452,214.67,31.35,2503.458,0,183.32,0.07322671281084
2003,67,"FRANKLIN",322.8,439,1126,526.38,113.13,388.448,0,413.25,1.06384895790428
2003,37,"CHARLOTTE",415.76,346,1454,535.72,74.43,113.567,0,461.29,4.06183134185107
2003,99,"KING GEORGE",346.12,416,672,297.68,15.06,796.321,0,282.62,0.354907129160226
2003,135,"NOTTOWAY",440.16,322,457,156.7,18.86,216.402,0,137.84,0.636962689808782
2003,25,"BRUNSWICK",424.95,337,2115,758.99,45.22,271.093,0,713.77,2.63293408535078
2003,161,"ROANOKE",442.56,319,96,32.61,27.85,6991.8365,0.4,4.36,0.000623584375864624
2003,36,"CHARLES CITY",439.57,322,1435,492.04,7.2,192.29469,140,344.84,1.79328924787263
2003,550,"CHESAPEAKE CITY",422.84,339,314,113.35,68.23,4650.718044,0.983792,44.13621,0.00949019260734182
2003,11,"APPOMATTOX",465.04,297,508,160.66,25.62,81.33,0,135.04,1.66039591786549
2003,73,"GLOUCESTER",461.72,300,98,31.31,18.53,479.707,0,12.78,0.026641262270511
2003,47,"CULPEPER",411.32,351,1266,473.19,62.42,599.078,5.302,405.468,0.676820046805257
2003,105,"LEE",368.35,394,1374,576.47,85.59,650.416,0,490.88,0.754716981132076
2003,193,"WESTMORELAND",383.56,378,1673,673.41,49.11,546.9156,223.695,400.605,0.732480477792186
2003,143,"PITTSYLVANIA",499.2,263,5606,1570.01,59.09,1773.663,0,1510.92,0.851864192916016
2003,117,"MECKLENBURG",424.11,338,4163,1498.36,84.94,190.511,0,1413.42,7.41909915962858
2003,121,"MONTGOMERY",441.4,321,384,131.26,14.01,7622.6086,10.4,106.85,0.0140175110132245
2003,89,"HENRY",527.6,234,525,130.82,9.97,1669.303,0,120.85,0.0723954848221084
2003,93,"ISLE OF WIGHT",406.02,356,934,354.07,16.68,14104.7598,2,335.39,0.0237784978089453
2003,169,"SCOTT",448.2,314,637,212.99,60.19,384.929,0,152.8,0.396956321815192
2003,167,"RUSSELL",506.87,255,251,68.16,32.04,1288.082,0,36.12,0.028041692997806
2003,59,"FAIRFAX",398.5,364,101,39.15,39.15,29771.4871,54.1,-54.1,-0.00181717493043873
2003,31,"CAMPBELL",435.97,326,1328,461.01,45.13,1988.4549,0,415.88,0.209147313323526
2003,157,"RAPPAHANNOCK",462.52,299,335,106.66,30.25,13.345,0,76.41,5.72573997751967
2003,23,"BOTETOURT",462.08,300,253,80.82,24.6,2193.3006,0,56.22,0.0256326013862395
2003,197,"WYTHE",419.88,342,1061,386.4,20.03,2576.606,0,366.37,0.142190928686807
2003,43,"CLARKE",422.72,339,514,185.55,33.93,197.5757,1.5,150.12,0.759810037367956
2003,83,"HALIFAX",465.17,297,2617,827.66,70.53,760.9566,0.015,757.115,0.994951617477265
2003,800,"SUFFOLK CITY",344.61,417,1167,518.2,48.4,30355.4162,196.69,273.11,0.00899707644265474
2003,113,"MADISON",476.75,285,333,101.06,21.85,43.799,0,79.21,1.80848877828261
2003,163,"ROCKBRIDGE",427.69,334,700,248.96,20.98,1066.0726,0,227.98,0.213850351280016
2003,810,"VIRGINIA BEACH CITY",426.34,336,431,154.21,23.26,3156.889,4,126.95,0.0402136407076714
2003,15,"AUGUSTA",447,315,3813,1279,66.75,4056.825,141.597,1070.653,0.263914021433017
2003,45,"CRAIG",427.08,335,130,46.37,10.7,757.067,0,35.67,0.047116041248661
2003,181,"SURRY",413.95,348,1472,545.48,24.09,98.0439,8.661,512.729,5.22958593038425
2003,159,"RICHMOND",433,329,243,85.13,7.36,117.9943,0,77.77,0.659099634473869
2003,153,"PRINCE WILLIAM",375.98,386,1173,482.15,36.58,20291.813,0,445.57,0.0219581168030673
2003,199,"YORK",456.99,305,41,13.32,13.32,31027.3086,0,0,0
2003,7,"AMELIA",404.26,358,886,337.76,41.55,0,0,296.21,Inf
2003,119,"MIDDLESEX",458.62,303,651,210.05,8.39,70.5389,12,189.66,2.68872919764839
2003,109,"LOUISA",403.25,359,365,139.53,34.41,153.9612,0,105.12,0.682769425023967
2003,111,"LUNENBURG",415.3,347,1484,548.35,22.54,221.491,0,525.81,2.373956503876
2003,115,"MATHEWS",450.97,311,117,38.75,6.29,5.1598,0,32.46,6.29094150936083
2003,191,"WASHINGTON",508.84,253,836,225.23,41.76,3165.058,0,183.47,0.0579673421466526
2003,29,"BUCKINGHAM",361.27,401,469,200.27,11.1,797.7879,0,189.17,0.237118161355919
2003,33,"CAROLINE",378.49,384,3411,1394.78,32.3,1283.25574,129.274,1233.206,0.960997844435903
2003,53,"DINWIDDIE",437.53,324,1885,650.35,39.68,17.522,0.217,610.453,34.8392306814291
2003,141,"PATRICK",610.09,152,432,69.92,21.69,241.795,0,48.23,0.199466490208648
2003,177,"SPOTSYLVANIA",317.17,445,346,163.96,37.44,3754.002,1.2,125.32,0.0333830402860734
2003,35,"CARROLL",557.96,204,1086,235.91,13.03,175.4273,0,222.88,1.27049780735382
2003,57,"ESSEX",403.58,358,246,93.78,14.87,174.6372,24.42,54.49,0.312018287054534
2003,41,"CHESTERFIELD",414.74,347,571,210.99,17,34078.7701,15.4,178.59,0.00524050602401288
2003,125,"NELSON",510.25,252,1016,272.64,38.91,715.97,125.38,108.35,0.151333156417168
2003,147,"PRINCE EDWARD",386.74,375,526,210.04,23.96,361.3264,0.744,185.336,0.512932351469475
2003,97,"KING AND QUEEN",457.34,305,1221,396.56,20.79,65.976,62.029,313.741,4.75538074451316
2003,179,"STAFFORD",318.74,443,221,104.25,11.79,3487.074,0,92.46,0.0265150667866526
2003,107,"LOUDOUN",422.64,339,3666,1323.38,87.36,1918.676,0.97,1235.05,0.643699092499203
2003,71,"GILES",444.68,317,193,65.15,10.8,24316.547,0,54.35,0.00223510352847384
2003,1,"ACCOMACK",384.95,377,9716,3900.52,23.28,4921.331657,3104.2237,773.0163,0.157074620016816
2003,127,"NEW KENT",461.13,301,495,158.66,5.77,7660.00172,5.62,147.27,0.0192258442469384
2003,185,"TAZEWELL",434.16,328,330,115.26,10.13,1680.703,0,105.13,0.0625512062511937
2003,21,"BLAND",386.02,376,801,320.71,8.41,62.937,0,312.3,4.96210496210496
2003,91,"HIGHLAND",376.33,386,20,8.22,3.7,2916.7336,0,4.52,0.00154967872280142
2003,61,"FAUQUIER",426.46,336,920,329.17,77.64,983.8588,0,251.53,0.255656604382661
2003,69,"FREDERICK",379.59,382,520,211.52,64.68,1025.3919,6,140.84,0.137352362545481
2003,17,"BATH",397.41,365,109,42.37,7.38,4462.6829,0,34.99,0.0078405750047802
2003,3,"ALBEMARLE",471.21,291,1456,451.18,52.06,3636.6436,0,399.12,0.109749550382116
2003,51,"DICKENSON",435.47,327,12,4.18,4.18,1540.376,0,0,0
2003,49,"CUMBERLAND",362.77,399,222,94.32,11.47,2.2051,0,82.85,37.5719921999002
2003,85,"HANOVER",471.1,291,3569,1105.94,86.15,6188.66967,75.178,944.612,0.152635711771638
2003,81,"GREENSVILLE",347.17,415,734,324.37,3.98,34.0449,0,320.39,9.41080749245849
2003,5,"ALLEGHANY",368.17,394,191,80.14,4.62,15721.783,0,75.52,0.0048035264193635
2003,165,"ROCKINGHAM",408.59,353,5645,2121.94,131.56,7790.53,32.521,1957.859,0.251312683475964
2003,171,"SHENANDOAH",416.07,346,1110,408.97,46.06,1691.246,0,362.91,0.214581438773543
2003,145,"POWHATAN",402.54,359,230,87.93,12.23,38.4136,4.81,70.89,1.8454401566112
2003,175,"SOUTHAMPTON",371.6,390,3507,1456.44,37.38,2264.03714,50.95,1368.11,0.604278956307227
2003,139,"PAGE",394.39,368,1005,393.83,18.42,773.7486,0,375.41,0.485183430380359
2003,133,"NORTHUMBERLAND",483.68,278,62,18.35,2.96,66.5523,0,15.39,0.231246703720232
2003,75,"GOOCHLAND",365.12,397,112,47.35,13.53,400.825,0,33.82,0.0843759745524855
2003,65,"FLUVANNA",342.75,419,264,117.79,27.22,279.15,0,90.57,0.324449220849006
2003,95,"JAMES CITY",427.09,335,102,36.39,9.63,1633.328959,0,26.76,0.0163837173476577
2003,63,"FLOYD",469.37,293,779,243.05,61.15,56.847,10.5,171.4,3.01511073583479
2003,149,"PRINCE GEORGE",433.07,329,8,2.8,2.8,108.887226,0,0,0
2003,77,"GRAYSON",468.35,294,619,193.79,24.11,64.691,0,169.68,2.62293054675303
2003,131,"NORTHAMPTON",422.18,340,9338,3380.85,17.38,738.04504,457.66466,2905.80534,3.93716532530318
2003,137,"ORANGE",367.23,395,1556,654.49,22.29,536.752,0,632.2,1.17782514084717
2003,79,"GREENE",437.56,324,154,53.13,16.22,183.9189,0,36.91,0.200686280746568
2003,195,"WISE",444.17,318,115,38.94,5.08,2246.494,0,33.86,0.0150723749985533
2003,183,"SUSSEX",403.11,359,1645,628.86,9.56,351.8869,18.9,600.4,1.70623004152755
2003,87,"HENRICO",467.83,294,49,15.34,15.34,112.356,0,0,0
2003,101,"KING WILLIAM",455.78,306,2690,876.53,5.54,7205.827952,24.1,846.89,0.117528479120146
2003,103,"LANCASTER",447.71,314,12,4.01,4.01,295.2157,0,0,0
2003,187,"WARREN",399.74,362,151,58.21,26.98,3966.652,0,31.23,0.00787313835446114
2003,9,"AMHERST",488.43,274,176,51.35,10.5,6576.832,0,40.85,0.00621119712347829
2003,155,"PULASKI",399.44,363,320,123.69,10.82,1682.551,0,112.87,0.067082661981717
2003,19,"BEDFORD",505.41,257,676,185,43.51,4029.9904,0,141.49,0.0351092647764124
2003,173,"SMYTH",487.53,274,452,131.88,19.26,2567.973,0,112.62,0.0438556012855275
2004,67,"FRANKLIN",440.7,321,1126,384.89,82.72,437.6641,0,302.17,0.690415320790533
2004,37,"CHARLOTTE",455.8,306,1454,473.78,65.82,148.0165,18.2,389.76,2.63321994507369
2004,99,"KING GEORGE",382.62,379,672,271.21,13.72,902.3829,7.4,250.09,0.277143992866
2004,135,"NOTTOWAY",453.91,308,457,149.89,18.04,226.1633,0,131.85,0.582985833687428
2004,25,"BRUNSWICK",476.98,285,2115,641.87,38.24,1013.78,0,603.63,0.595425042908718
2004,161,"ROANOKE",371.41,391,96,39.97,34.14,7368.0489,5.25,0.58,0.0000787182614925371
2004,36,"CHARLES CITY",549.93,212,1435,323.95,4.74,51.6081,13.79,305.42,5.91806324976118
2004,550,"CHESAPEAKE CITY",546.15,216,314,72.22,43.47,4932.15236,0.98581,27.76419,0.00562922391148517
2004,11,"APPOMATTOX",364.96,397,508,214.76,34.24,86.59,0,180.52,2.08476729414482
2004,73,"GLOUCESTER",536.93,225,98,23.48,13.9,485.985,0,9.58,0.0197125425681863
2004,47,"CULPEPER",325.13,437,1266,589.13,77.71,687.4135,26.4275,484.9925,0.705532405168068
2004,105,"LEE",283.01,479,1374,700.84,104.05,635.993,0,596.79,0.938359384458634
2004,193,"WESTMORELAND",493.34,269,1673,479.23,34.95,472.08045,161.042,283.238,0.599978245233413
2004,143,"PITTSYLVANIA",405.29,357,5606,2131.15,80.21,1493.7455,5.618,2045.322,1.36925734671669
2004,117,"MECKLENBURG",449.69,312,4163,1383.1,78.41,609.9384,0.567,1304.123,2.1381224726956
2004,121,"MONTGOMERY",286.95,475,384,194.23,20.74,8037.1723,10,163.49,0.0203417313823171
2004,89,"HENRY",427.37,335,525,187.28,14.27,1081.018,0,173.01,0.160043588543391
2004,93,"ISLE OF WIGHT",530.98,231,934,229.75,10.82,14822.334604,3,215.93,0.0145678805511332
2004,169,"SCOTT",320.1,442,637,299.82,84.72,388.2952,0,215.1,0.553959976842361
2004,167,"RUSSELL",436.91,325,251,86.87,40.84,1401.1267,0,46.03,0.0328521325016503
2004,59,"FAIRFAX",340.51,421,101,45.28,45.28,31179.9948,17.4,-17.4,-0.000558050125139854
2004,31,"CAMPBELL",375.88,386,1328,545.86,53.43,2044.8746,5.34,487.09,0.23820042559089
2004,157,"RAPPAHANNOCK",286.05,476,335,169.8,48.15,14.242,0,121.65,8.54163741047606
2004,23,"BOTETOURT",282.54,479,253,129.05,39.28,997.5791,0,89.77,0.089987851589914
2004,197,"WYTHE",339.19,423,1061,477.91,24.77,2581.357,0,453.14,0.175543328567106
2004,43,"CLARKE",278.04,484,514,264.91,48.45,214.469,0,216.46,1.00928339293791
2004,83,"HALIFAX",436.91,325,2617,905.69,77.18,794.2524,0,828.51,1.04313188099904
2004,800,"SUFFOLK CITY",508.08,254,1167,315.64,29.48,34540.961863,0,286.16,0.00828465637798386
2004,113,"MADISON",319.83,442,333,156.73,33.89,50.638,0,122.84,2.42584620245665
2004,163,"ROCKBRIDGE",319.29,443,700,330.21,27.83,612.3916,0,302.38,0.493769019692628
2004,810,"VIRGINIA BEACH CITY",555.58,206,431,94.54,14.26,5814.974298,3.6,76.68,0.0131866446987347
2004,15,"AUGUSTA",295.79,466,3813,1892.11,98.75,3990.4075,87.989,1705.371,0.427367631000092
2004,45,"CRAIG",302.67,459,130,63.54,14.66,1130.353,0,48.88,0.0432431284740254
2004,181,"SURRY",542.84,219,1472,343.28,15.16,86.7978,0,328.12,3.78028014534931
2004,159,"RICHMOND",527.94,234,243,60.55,5.23,118.86,0,55.32,0.465421504290762
2004,153,"PRINCE WILLIAM",316.56,445,1173,555.84,42.17,20958.728,0,513.67,0.0245086438451799
2004,199,"YORK",559.51,202,41,8.82,8.82,30823.8643,0,0,0
2004,7,"AMELIA",466.8,295,886,278.32,34.24,0,0,244.08,Inf
2004,119,"MIDDLESEX",502.45,260,651,180.24,7.2,62.7574,14.5,158.54,2.52623594986408
2004,109,"LOUISA",432.91,329,365,127.87,31.53,162.09757,0,96.34,0.594333400556221
2004,111,"LUNENBURG",458.68,303,1484,478.82,19.68,225.2288,0,459.14,2.0385492441464
2004,115,"MATHEWS",485.86,276,117,34.39,5.58,1.289,0,28.81,22.3506594259116
2004,191,"WASHINGTON",409.81,352,836,313.36,58.1,3045.175,0,255.26,0.0838244107481508
2004,29,"BUCKINGHAM",364.93,397,469,198.27,10.99,204.742,0,187.28,0.91471217434625
2004,33,"CAROLINE",463.88,298,3411,1082.41,25.07,1366.0375,155.723,901.617,0.66002360842949
2004,53,"DINWIDDIE",476.14,286,1885,574.08,35.02,21.0767,0,539.06,25.5761101121143
2004,141,"PATRICK",439.44,323,432,148.59,46.09,236.7354,0,102.5,0.432972846477544
2004,177,"SPOTSYLVANIA",389.07,373,346,137.43,31.38,3685.0377,15.52,90.53,0.0245669128432526
2004,35,"CARROLL",364.86,397,1086,459.11,25.37,174.5737,0,433.74,2.48456669017154
2004,57,"ESSEX",527.8,234,246,61.3,9.72,172.8791,28.5,23.08,0.13350370287675
2004,41,"CHESTERFIELD",495.65,266,571,161.74,13.03,34553.8402,15.8,132.91,0.00384646103676777
2004,125,"NELSON",391.27,371,1016,401.39,57.28,779.2303,170.87,173.24,0.222321950262971
2004,147,"PRINCE EDWARD",405.43,357,526,199.96,22.81,379.1028,8.3,168.85,0.445393703238277
2004,97,"KING AND QUEEN",534.11,228,1221,296.45,15.54,154.6606,149.5326,131.3774,0.84945616401333
2004,179,"STAFFORD",348.04,414,221,97.43,11.02,3792.029,0,86.41,0.0227872729876275
2004,107,"LOUDOUN",268.54,493,3666,1924.57,127.04,2510.3395,39.1085,1758.4215,0.700471589599733
2004,71,"GILES",310.02,452,193,92.89,15.4,24026.141,0,77.49,0.00322523704493368
2004,1,"ACCOMACK",500.37,262,9716,2710.71,16.18,3826.463078,2178.6459,515.8841,0.13482009089962
2004,127,"NEW KENT",517.95,244,495,128.61,4.68,8158.5187,13.3597,110.5703,0.013552742117267
2004,185,"TAZEWELL",414.11,348,330,122.29,10.75,1733.1808,0,111.54,0.0643556632983703
2004,21,"BLAND",397.7,364,801,310.48,8.14,59.985,0,302.34,5.04026006501625
2004,91,"HIGHLAND",253.17,509,20,10.84,4.88,3298.5548,0,5.96,0.00180685189768562
2004,61,"FAUQUIER",314.21,448,920,438.89,103.52,1057.2515,0,335.37,0.3172092922072
2004,69,"FREDERICK",263.26,499,520,276.31,84.49,1689.334,6,185.82,0.109996010262032
2004,17,"BATH",262.68,499,109,57.92,10.1,4344.0645,0,47.82,0.011008123843465
2004,3,"ALBEMARLE",356.16,406,1456,629.48,72.63,3962.27139,0,556.85,0.140538076570267
2004,51,"DICKENSON",367.34,395,12,5.05,5.05,1622.2731,0,0,0
2004,49,"CUMBERLAND",430.92,331,222,78.25,9.52,2.242,0,68.73,30.6556645851918
2004,85,"HANOVER",473.58,288,3569,1094.54,85.26,5934.875829,86.391,922.889,0.155502663676706
2004,81,"GREENSVILLE",444.98,317,734,247.77,3.04,985.7455,24.75,219.98,0.223161049175472
2004,5,"ALLEGHANY",273.69,488,191,99.25,5.72,15206.467,0,93.53,0.00615067260528037
2004,165,"ROCKINGHAM",230.42,532,5645,3197.93,198.28,8442.8792,11.67,2987.98,0.353905335990121
2004,171,"SHENANDOAH",232.62,529,1110,625.28,70.41,1857.7367,5.78,549.09,0.295569334448741
2004,145,"POWHATAN",495.38,267,230,65.39,9.1,40.3521,2.2,54.09,1.34045068286409
2004,175,"SOUTHAMPTON",505.46,257,3507,959.76,24.63,2388.279598,81.473,853.657,0.357435955452985
2004,139,"PAGE",253.05,509,1005,544.73,25.47,756.8933,5.13,514.13,0.679263510457815
2004,133,"NORTHUMBERLAND",501,261,62,17.23,2.78,62.9152,0,14.45,0.229674228167438
2004,75,"GOOCHLAND",467.25,295,112,35.18,10.05,626.1503,0,25.13,0.040134133929186
2004,65,"FLUVANNA",432.15,330,264,92.77,21.44,74.763,0,71.33,0.954081564410203
2004,95,"JAMES CITY",549.13,213,102,23.14,6.12,1743.284656,0,17.02,0.00976317891712115
2004,63,"FLOYD",311.65,450,779,373.29,93.92,66.3738,17.6218,261.7482,3.9435470019797
2004,149,"PRINCE GEORGE",503.71,258,8,2.2,2.2,233.4826,17.46,-17.46,-0.074780733125295
