"County","County_Code","Total.Irri.Area","Irr.Area.Under.TH","Facility_All_Withdrawl_mg","PPT","Irrigation","SM_F_Unreported","Facility_withdrawal_mg","All_Irrigation_mg","Large_Farm_unreported","C_Tot_area_lg"
"GLOUCESTER",73,98,51,445.9206,198.37,310,16.84,0,32.35,15.51,0.034781976881086
"GOOCHLAND",75,101,23,695.2937,187.49,321,7.86,0,34.52,26.66,0.0383435086496541
"GRAYSON",77,619,77,67.504,287.24,221,18.12,0,145.67,127.55,1.88951765821285
"GREENE",79,36,36,201.205732,279.71,228,8.74,0,8.74,0,0
"GREENSVILLE",81,734,0,647.5772,268.68,239,0,50.8297,186.8,135.9703,0.209967707325088
"HALIFAX",83,2617,82,772.2776,253.93,254,22.18,26.816,707.83,658.834,0.853105152862131
"HANOVER",85,2393,278,5914.3517,170.63,337,99.76,236.0457,858.75,522.9443,0.0884195473191085
"HENRICO",87,49,49,677.181536,175.58,332,17.32,0,17.32,0,0
"HENRY",89,416,39,1815.299008,230.12,278,11.55,0,123.15,111.6,0.0614774753405253
"ISLE OF WIGHT",93,791,5,16964.964678,246.5,262,1.39,97.5,220.68,121.79,0.00717891267748621
"JAMES CITY",95,102,12,5502.30478,169.8,338,4.32,0,36.71,32.39,0.0058866241139045
"KING AND QUEEN",97,743,64,261.51,184.5,324,22.08,256.91,256.35,-22.64,-0.0865741271844289
"KING GEORGE",99,3,3,761.1532,194.17,314,1,0,1,0,0
"KING WILLIAM",101,2457,15,7514.2431,174.97,333,5.32,143.51,871.25,722.42,0.09614008894655
"LEE",105,1374,204,597.42,232.23,276,59.96,0,403.82,343.86,0.575574972381239
"LOUDOUN",107,3666,185,2154.691,209.01,299,58.9,36.6,1167.23,1071.73,0.497393825843242
"LOUISA",109,365,51,199.934,266.05,242,13.14,0,94.06,80.92,0.404733562075485
"LUNENBURG",111,1484,61,231.424,278.51,229,14.88,10,361.88,337,1.4562016039823
"MADISON",113,333,72,39.538,261.94,246,18.86,0,87.23,68.37,1.72922252010724
"MATHEWS",115,117,5,1.113,209.99,298,1.59,0,37.13,35.54,31.9317160826595
"MECKLENBURG",117,4158,236,1132.005,244.82,263,66.09,5.59,1164.48,1092.8,0.965366760747523
"MIDDLESEX",119,651,16,117.3,217.69,290,4.94,13.4,201.04,182.7,1.55754475703325
"MONTGOMERY",121,303,41,8396.0889,189.56,318,13.88,17,102.6,71.72,0.00854207248806048
"NELSON",125,795,145,593.2255,200.79,307,47.4,192.13,259.9,20.37,0.034337701261999
"NEW KENT",127,458,15,14967.40878,167.24,341,5.45,11.89,166.31,148.97,0.00995295860423477
"NORTHAMPTON",131,9338,44,997.0889,204.19,304,14.24,742.087,3022.88,2266.553,2.27317042642838
"NORTHUMBERLAND",133,38,10,73.9144,215.27,293,3.12,0,11.86,8.74,0.118244888682043
"NOTTOWAY",135,457,32,214.159,215.41,293,9.98,0,142.59,132.61,0.619212827852203
"ORANGE",137,1556,53,569.231,237.63,270,15.24,0.45,447.37,431.68,0.758356449314953
"PAGE",139,238,14,876.3444,231.87,276,4.11,34.476,69.95,31.364,0.035789582269254
"PATRICK",141,325,134,241.6111,230.32,278,39.67,0,96.21,56.54,0.234012427409171
"PITTSYLVANIA",143,5606,211,1800.3949,237,271,60.89,86.068,1617.77,1470.812,0.816938550536885
"POWHATAN",145,230,32,32.6476,177.67,330,11.24,0.58,80.82,69,2.11347847927566
"PRINCE EDWARD",147,526,46,408.714,192.82,315,15.43,38.6,176.44,122.41,0.299500384131691
"PRINCE WILLIAM",153,1173,10,21593.872,191.17,317,3.38,3.4,395.96,389.18,0.0180227057009507
"PULASKI",155,320,3,1760.111,212.68,295,0.94,0,100.52,99.58,0.0565759773105219
"RAPPAHANNOCK",157,335,10,14.576,222.83,285,3.03,0,101.67,98.64,6.76728869374314
"ROANOKE",161,92,82,7430.9603,255.62,252,22,20.7,24.69,-18.01,-0.00242364368438357
"ROCKBRIDGE",163,700,55,1333.348511,182.33,326,19.09,0,243,223.91,0.16793058840413
"ROCKINGHAM",165,4355,174,8784.345484,211.37,297,55.03,276.896,1377.33,1045.404,0.119007614386766
"RUSSELL",167,251,118,1644.2773,327.72,180,22.62,0,48.11,25.49,0.0155022513538319
"SCOTT",169,637,180,380.623,281.04,227,43.51,0,153.98,110.47,0.290234694172449
"SHENANDOAH",171,1110,36,1967.5901,237.71,270,10.35,30.277,319.14,278.513,0.141550315789859
"SMYTH",173,452,38,2503.458,315.77,192,7.77,0,92.41,84.64,0.0338092350660566
"SOUTHAMPTON",175,2385,0,6068.35342,296.08,212,0,41,538.42,497.42,0.0819695171940068
"SPOTSYLVANIA",177,346,40,3729.491,188.63,319,13.59,60.56,117.53,43.38,0.0116316140728051
"STAFFORD",179,186,22,3516.87,198.83,309,7.24,0,61.2,53.96,0.0153431886876683
"SURRY",181,1472,30,136.30141,239.91,268,8.56,53.203,420.08,358.317,2.62885761783389
"SUSSEX",183,1410,16,397.3285,297.29,211,3.59,38.6,316.81,274.62,0.691166125762436
"TAZEWELL",185,245,29,1763.684,294.61,213,6.58,0,55.57,48.99,0.0277770847838955
"WARREN",187,151,70,3691.9461,238.84,269,20.05,0,43.25,23.2,0.00628394872828723
"WASHINGTON",191,836,155,3081.793,372.99,135,22.28,0,120.18,97.9,0.031767221224787
"WESTMORELAND",193,1474,122,663.730732,229.79,278,36.12,311.381,436.35,88.849,0.13386301961983
"WISE",195,28,10,2350.4953,308.96,199,2.12,0,5.93,3.81,0.00162093495783633
"WYTHE",197,1061,22,1596.5893,254.55,253,5.93,0,285.84,279.91,0.17531747206373
"YORK",199,41,41,31129.510681,179.13,329,14.36,0,14.36,0,0
"CHESAPEAKE CITY",550,314,189,1681.9399,266.87,241,48.5,0,80.58,32.08,0.0190732142093781
"SUFFOLK CITY",800,1167,109,35591.817279,262.99,245,28.44,208.64,304.46,67.38,0.00189313176879439
"VIRGINIA BEACH CITY",810,431,35,10522.4833922,228.38,280,10.44,0,128.51,118.07,0.0112207352199312
