"County","County_Code","Total.Irri.Area","Irr.Area.Under.TH","Facility_All_Withdrawl_mg","PPT","Irrigation","SM_F_Unreported","Facility_withdrawal_mg","All_Irrigation_mg","Large_Farm_unreported","C_Under_TH_lg"
"FLUVANNA",65,264,30,346.654785,285.7,222,7.09,0,62.41,55.32,0.159582392609985
"FRANKLIN",67,872,140,492.8103,249.5,258,38.46,0,239.57,201.11,0.408088061471118
"FREDERICK",69,298,101,2243.941828,202.47,306,32.91,13.534,97.1,50.656,0.022574560252816
"GILES",71,30,13,22192.279055,246.32,262,3.63,0,8.37,4.74,0.000213587797280877
"GLOUCESTER",73,58,58,507.53728,265.47,243,15.01,0,15.01,0,0
"GOOCHLAND",75,20,20,949.7262,287.78,220,4.69,0,4.69,0,0
"GRAYSON",77,97,37,50.13227,260.92,247,9.73,0,25.51,15.78,0.3147673145461
"GREENE",79,154,47,248.5711,291.39,217,10.86,0,35.59,24.73,0.0994886372550952
"HALIFAX",83,1549,123,698.41449,215.03,293,38.38,9.12,483.3,435.8,0.623984762973632
"HANOVER",85,3188,116,1033.164889,272.89,235,29.03,274.1886,797.77,494.5514,0.478676158341653
"HENRICO",87,25,25,11258.71137,293.27,215,5.72,0,5.72,0,0
"HENRY",89,525,6,1111.62384,240.14,268,1.71,0,149.83,148.12,0.133246512597283
"ISLE OF WIGHT",93,702,44,15366.273684,255.19,253,11.85,123,189.13,54.28,0.00353241137807656
"JAMES CITY",95,29,16,5613.277391,298.49,210,3.58,0,6.49,2.91,0.000518413717566448
"KING AND QUEEN",97,16,16,298.32,250.93,257,4.38,293.42,4.38,-293.42,-0.983574684902119
"KING GEORGE",99,672,21,1242.0798,187.45,321,7.18,175.802,229.7,46.718,0.0376127202133067
"KING WILLIAM",101,2690,0,7165.26171,247.95,260,0,702.694,744.77,42.076,0.0058722209603702
"LEE",105,297,43,766.738,230.55,277,12.68,0,87.61,74.93,0.0977256898705947
"LOUDOUN",107,3533,142,2538.796988,177.57,330,49.9,32.6308,1241.51,1158.9792,0.456507237671262
"LOUISA",109,279,54,196.042254,278.76,229,13.17,0,68.04,54.87,0.279888640741705
"LUNENBURG",111,770,35,216.203,206.45,302,11.26,8.66,247.62,227.7,1.05317687543651
"MADISON",113,69,39,105.548,289.26,219,9.09,0,16.09,7,0.0663205366278849
"MATHEWS",115,53,19,5.9702,252.32,256,5.18,0,14.45,9.27,1.55271180194968
"MECKLENBURG",117,3235,60,713.222,191.51,316,20.19,7.17,1088.57,1061.21,1.48790979526711
"MIDDLESEX",119,480,0,160.215729,266.65,241,0,90.576,123.18,32.604,0.203500618843734
"MONTGOMERY",121,384,38,8688.827583,203.37,305,12.34,46.54,124.72,65.84,0.00757754707077147
"NELSON",125,774,97,1060.2098,271.92,236,24.38,468.463,194.51,-298.333,-0.281390532326715
"NEW KENT",127,495,7,10425.07855,290.31,218,1.62,138.01,114.91,-24.72,-0.00237120515509209
"NORTHAMPTON",131,9286,48,1183.685862,238.36,270,13.8,907.219324,2669.85,1748.83068,1.47744493378092
"NORTHUMBERLAND",133,62,1,987.23769,226.46,282,0.3,0,18.62,18.32,0.0185568279914435
"NOTTOWAY",135,386,32,464.577845,243.11,265,9.03,0,108.92,99.89,0.215012405509781
"ORANGE",137,627,39,719.1761,258.99,249,10.34,70,166.25,85.91,0.119456138767682
"PAGE",139,296,47,605.794184,291.6,216,10.81,12.17,68.08,45.1,0.0744477269527566
"PATRICK",141,432,22,285.815066,276.37,232,5.44,1,106.72,100.28,0.350856242126858
"PITTSYLVANIA",143,4187,64,1073.054393,217.54,290,19.76,65.3438,1292.99,1207.8862,1.12565235078442
"POWHATAN",145,28,2,50.1273,242.05,266,0.57,3.3,7.93,4.06,0.0809937898111408
"PRINCE EDWARD",147,123,60,30.883163,221.93,286,18.27,0,37.46,19.19,0.621374177249915
"PRINCE GEORGE",149,6,6,255.943891,285.09,223,1.42,0,1.42,0,0
"PRINCE WILLIAM",153,685,89,28178.8243,206.26,302,28.62,2.632,220.29,189.038,0.00670851267559804
"PULASKI",155,241,23,1780.94,229.17,279,6.83,0,71.6,64.77,0.0363684346468719
"RAPPAHANNOCK",157,132,56,14.271,246.93,261,15.56,0,36.69,21.13,1.48062504379511
"RICHMOND",159,243,2,113.77872,219.4,289,0.62,0,74.78,74.16,0.651791477351828
"ROANOKE",161,94,53,4487.925,235.72,272,15.35,0,27.23,11.88,0.00264710305987734
"ROCKBRIDGE",163,109,46,1052.877009,263.87,244,11.95,0,28.32,16.37,0.0155478748800374
"ROCKINGHAM",165,4808,241,9031.399242,332.69,175,44.91,167.963,895.98,683.107,0.0756368954240502
"RUSSELL",167,134,28,644.75017,310.95,197,5.87,0,28.11,22.24,0.0344939808236111
"SCOTT",169,243,84,397.3463,270.35,238,21.29,0,61.59,40.3,0.101422864639736
"SHENANDOAH",171,755,125,2007.440633,278.97,229,30.48,29.928,184.11,123.702,0.061621747595661
"SMYTH",173,188,66,1719.00561,233.52,274,19.26,0,54.85,35.59,0.0207038300474191
"SOUTHAMPTON",175,3507,90,5903.591034,249.88,258,24.73,259.1787,963.49,679.5813,0.115113207552175
"SPOTSYLVANIA",177,144,79,4155.78188,240.3,268,22.55,25.43,41.1,-6.88,-0.00165552480824619
"STAFFORD",179,221,11,4652.618,234.59,273,3.2,0,64.25,61.05,0.0131216446310443
"SURRY",181,1028,22,103.262,277.11,231,5.41,39.699,252.87,207.761,2.01197923727993
"SUSSEX",183,1645,0,588.938,252.6,255,0,41.22,446.68,405.46,0.688459566202215
"TAZEWELL",185,330,29,1247.3252,249.47,259,8,0,91.01,83.01,0.0665504072233929
"WARREN",187,58,58,4304.443,212.2,296,18.28,0,18.28,0,0
"WASHINGTON",191,410,123,3408.1964,290.22,218,28.55,0,95.18,66.63,0.0195499296930189
"WESTMORELAND",193,1673,5,1235.92386,175.57,332,1.77,863.926,591.46,-274.236,-0.221887455105851
"WISE",195,115,5,1773.06878,284.42,224,1.19,0,27.43,26.24,0.0147992002882144
"WYTHE",197,164,55,3002.4423,209.39,299,17.51,0,52.22,34.71,0.0115605885248819
"YORK",199,17,17,32214.1923,278.94,229,4.15,0,4.15,0,0
"CHESAPEAKE CITY",550,239,56,4509.785158,297.57,210,12.52,1.440575,53.45,39.48942,0.00875638608414614
"SUFFOLK CITY",800,616,68,38298.190706,314.63,193,13.98,180.6075,126.6,-67.9875,-0.00177521440952428
"VIRGINIA BEACH CITY",810,193,51,13960.175028,250.71,257,13.96,0,52.82,38.86,0.00278363272108396
