"","County","County_Code","Total.Irri.Area","Irr.Area.Under.TH","Facility_withdrawal_mg","PPT","Irrigation","Vol_Unreported","C_tot","Method1_Unreported"
"26","FLUVANNA",65,264,30,346.654785,285.7,476,15.21,0.04,13.8661914
"27","FRANKLIN",67,872,140,492.8103,249.5,512,76.33,0.15,73.921545
"28","FREDERICK",69,298,101,2243.941828,202.47,560,60.23,0.03,67.31825484
"29","GILES",71,30,13,22192.279055,246.32,516,7.14,0,0
"30","GLOUCESTER",73,58,58,507.53728,265.47,497,30.7,0.06,30.4522368
"31","GOOCHLAND",75,20,20,949.7262,287.78,474,10.09,0.01,9.497262
"32","GRAYSON",77,97,37,50.13227,260.92,501,19.74,0.39,19.5515853
"33","GREENE",79,154,47,248.5711,291.39,471,23.57,0.09,22.371399
"34","HALIFAX",83,1549,123,698.41449,215.03,547,71.65,0.1,69.841449
"35","HANOVER",85,3188,116,1033.164889,272.89,489,60.4,0.06,61.98989334
"36","HENRICO",87,25,25,11258.71137,293.27,469,12.49,0,0
"37","HENRY",89,525,6,1111.62384,240.14,522,3.34,0,0
"38","ISLE OF WIGHT",93,702,44,15366.273684,255.19,507,23.75,0,0
"39","JAMES CITY",95,29,16,5613.277391,298.49,464,7.91,0,0
"40","KING AND QUEEN",97,16,16,298.32,250.93,511,8.71,0.03,8.9496
"41","KING GEORGE",99,672,21,1242.0798,187.45,575,12.86,0.01,12.420798
"42","KING WILLIAM",101,2690,0,7165.26171,247.95,514,0,0,0
"43","LEE",105,297,43,766.738,230.55,531,24.31,0.03,23.00214
"44","LOUDOUN",107,3533,142,2538.796988,177.57,584,88.31,0.03,76.16390964
"45","LOUISA",109,279,54,196.042254,278.76,483,27.77,0.14,27.44591556
"46","LUNENBURG",111,770,35,216.203,206.45,556,20.72,0.1,21.6203
"47","MADISON",113,69,39,105.548,289.26,473,19.64,0.19,20.05412
"48","MATHEWS",115,53,19,5.9702,252.32,510,10.32,1.73,10.328446
"49","MECKLENBURG",117,3235,60,713.222,191.51,570,36.42,0.05,35.6611
"50","MIDDLESEX",119,480,0,160.215729,266.65,495,0,0,0
"51","MONTGOMERY",121,384,38,8688.827583,203.37,559,22.62,0,0
"52","NELSON",125,774,97,1060.2098,271.92,490,50.61,0.05,53.01049
"53","NEW KENT",127,495,7,10425.07855,290.31,472,3.52,0,0
"54","NORTHAMPTON",131,9286,48,1183.685862,238.36,524,26.78,0.02,23.67371724
"55","NORTHUMBERLAND",133,62,1,987.23769,226.46,536,0.57,0,0
"56","NOTTOWAY",135,386,32,464.577845,243.11,519,17.69,0.04,18.5831138
"57","ORANGE",137,627,39,719.1761,258.99,503,20.89,0.03,21.575283
"58","PAGE",139,296,47,605.794184,291.6,470,23.52,0.04,24.23176736
"59","PATRICK",141,432,22,285.815066,276.37,486,11.39,0.04,11.43260264
"60","PITTSYLVANIA",143,4187,64,1073.054393,217.54,544,37.07,0.03,32.19163179
"61","POWHATAN",145,28,2,50.1273,242.05,520,1.11,0.02,1.002546
"62","PRINCE EDWARD",147,123,60,30.883163,221.93,540,34.5,1.12,34.58914256
"63","PRINCE GEORGE",149,6,6,255.943891,285.09,477,3.05,0.01,2.55943891
"64","PRINCE WILLIAM",153,685,89,28178.8243,206.26,556,52.69,0,0
"65","PULASKI",155,241,23,1780.94,229.17,533,13.05,0.01,17.8094
"66","RAPPAHANNOCK",157,132,56,14.271,246.93,515,30.71,2.15,30.68265
"67","RICHMOND",159,243,2,113.77872,219.4,543,1.16,0.01,1.1377872
"68","ROANOKE",161,94,53,4487.925,235.72,526,29.69,0.01,44.87925
"69","ROCKBRIDGE",163,109,46,1052.877009,263.87,498,24.39,0.02,21.05754018
"70","ROCKINGHAM",165,4808,241,9031.399242,332.69,429,110.1,0.01,90.31399242
"71","RUSSELL",167,134,28,644.75017,310.95,451,13.45,0.02,12.8950034
"72","SCOTT",169,243,84,397.3463,270.35,492,44.01,0.11,43.708093
"73","SHENANDOAH",171,755,125,2007.440633,278.97,483,64.29,0.03,60.22321899
"74","SMYTH",173,188,66,1719.00561,233.52,528,37.11,0.02,34.3801122
"75","SOUTHAMPTON",175,3507,90,5903.591034,249.88,512,49.07,0.01,59.03591034
"76","SPOTSYLVANIA",177,144,79,4155.78188,240.3,522,43.91,0.01,41.5578188
"77","STAFFORD",179,221,11,4652.618,234.59,527,6.17,0,0
"78","SURRY",181,1028,22,103.262,277.11,485,11.36,0.11,11.35882
"79","SUSSEX",183,1645,0,588.938,252.6,509,0,0,0
"80","TAZEWELL",185,330,29,1247.3252,249.47,513,15.84,0.01,12.473252
"81","WARREN",187,58,58,4304.443,212.2,550,33.97,0.01,43.04443
"82","WASHINGTON",191,410,123,3408.1964,290.22,472,61.82,0.02,68.163928
"83","WESTMORELAND",193,1673,5,1235.92386,175.57,586,3.12,0,0
"84","WISE",195,115,5,1773.06878,284.42,478,2.55,0,0
"85","WYTHE",197,164,55,3002.4423,209.39,553,32.39,0.01,30.024423
"86","YORK",199,17,17,32214.1923,278.94,483,8.74,0,0
"87","CHESAPEAKE CITY",550,239,56,4509.785158,297.57,464,27.67,0.01,45.09785158
"88","SUFFOLK CITY",800,616,68,38298.190706,314.63,447,32.37,0,0
"89","VIRGINIA BEACH CITY",810,193,51,13960.175028,250.71,511,27.75,0,0
